name,current_percent_of_portfolio
Abivax,9.381219999999999e-05
Travere Therapeutics Inc,9.27291e-05
Vertiv Holdings Co,9.16844e-05
Zscaler Inc,9.1413e-05
Juniper Networks Inc,9.10407e-05
CyberArk Software Ltd,9.03774e-05
Callon Petroleum Co. (1994),8.6891e-05
Lightspeed POS Inc.,8.66455e-05
Rocket Pharmaceuticals Inc,8.65568e-05
Match Group Inc.,8.58509e-05
Norwegian Cruise Line Holdings Ltd,8.464630000000001e-05
Leap Therapeutics Inc,8.06278e-05
Brown & Brown Inc.,7.99491e-05
Fusion Pharmaceuticals Inc.,7.92994e-05
GitLab Inc.,7.79296e-05
Darling Ingredients Inc,7.71127e-05
V.F. Corp. (Vanity Fair Mills Inc.),7.6054e-05
Finance of America Companies Inc,7.58578e-05
Sprinklr Inc,7.45134e-05
Kimbell Royalty Partners LP Units,7.45134e-05
X4 PHARMACEUTICALS ORD SHS,7.39706e-05
Fox Corp,7.31057e-05
ZoomInfo Technologies Inc.,7.24731e-05
Camden Property Trust,7.1723e-05
Mobileye Global Inc,7.14932e-05
"Werner Enterprises, Inc.",7.04018e-05
Harpoon Therapeutics Inc,7.03669e-05
Lyft Inc,6.95778e-05
IGM Biosciences Inc,6.85721e-05
Blueprint Medicines Corp,6.85028e-05
Exelon Corp,6.80844e-05
"Harmony Biosciences Holdings, Inc.",6.663289999999999e-05
HilleVax Inc,6.57035e-05
International Paper Co.,6.56911e-05
Avadel Pharmaceuticals plc,6.55396e-05
Borr Drilling Ltd,6.07329e-05
News Inc. Class B,5.9178599999999996e-05
Campbell Soup Co.,5.89004e-05
United Airlines Holdings Inc,5.83978e-05
DT Midstream Inc,5.65245e-05
Cactus Inc,5.61945e-05
Neurogene Inc,5.4205e-05
Vaxxinity Inc,5.2604899999999995e-05
Cytokinetics Inc,5.1670400000000006e-05
Turing Holding Corp,4.96236e-05
Woodward Inc,4.9389200000000005e-05
ALX Oncology Holdings Inc.,4.9147499999999997e-05
Flame Acquisition Corp,4.7114100000000003e-05
"EastGroup Properties, Inc.",4.68746e-05
Dot Therapeutics-2 Inc,4.51784e-05
Integra LifeSciences Holdings Corp,4.49205e-05
Arq Inc,4.45698e-05
Symbotic Inc,4.23563e-05
Otis Worldwide Corp,4.1687199999999996e-05
TFI Intl Inc,4.09108e-05
Loews Corp,3.99097e-05
Monday.Com Ltd,3.87441e-05
JFrog Ltd.,3.56992e-05
Third Harmonic Bio Inc,3.44044e-05
Arch Coal Inc,3.42324e-05
CervoMed Inc,3.1377699999999996e-05
Ventyx Biosciences Inc,3.05728e-05
"BioAtla, Inc.",3.0449000000000003e-05
Karyopharm Therapeutics Inc,2.96806e-05
American Homes 4 Rent,2.94649e-05
BP Plc ADR (British Petroleum),2.9211200000000002e-05
BioXcel Therapeutics Inc,2.8321599999999997e-05
Immunocore Holdings PLC,2.8188000000000002e-05
Acelyrin Inc,2.77011e-05
Caribou Biosciences Inc,2.41062e-05
Excelerate Energy Inc,2.39198e-05
Moog Inc Class A,2.25587e-05
Molecular Templates Inc,2.25275e-05
Parker-Hannifin Corp.,2.18211e-05
U-Haul Holding Company Class B,2.1797e-05
CureVac N.V.,2.15759e-05
Fidelis Insurance Holdings Ltd.,1.96031e-05
OPAL Fuels Inc,1.8219899999999998e-05
BJs Wholesale Club Holdings Inc,1.8152000000000002e-05
ProPetro Holding Corp,1.72874e-05
Spirit Aerosystems Holdings Inc. Class A,1.6593999999999997e-05
Energy Recovery Inc,1.65144e-05
"Taysha Gene Therapies, Inc.",1.53359e-05
Immuneering Corp,1.51626e-05
Allakos Inc,1.4085199999999999e-05
Farmer Brothers Co,1.39653e-05
Lifezone Metals Ltd Warrent Exp 07/05/202,1.3889300000000001e-05
Catalyst Pharmaceuticals Inc,1.3871199999999999e-05
Rezolute Inc,1.29336e-05
Benitec Biopharma Ltd ADR,1.26061e-05
Ikena Oncology Inc,1.1700199999999999e-05
Bolt Biotherapeutics Inc,1.15525e-05
Liberty Oilfield Services Inc,1.12265e-05
Rapid Micro Biosystems Inc,1.0686e-05
G1 Therapeutics Inc,9.43795e-06
NeoGames S.A.,8.09149e-06
Chimerix Inc,7.94232e-06
LanzaTech Global Inc,7.70462e-06
Nauticus Robotics Inc,5.16242e-06
GlycoMimetics Inc,4.86854e-06
Investcorp Europe Acquisition Corp I,4.72826e-06
Screaming Eagle Acquisition Corp,4.57444e-06
Forum Energy Technologies Inc,4.57354e-06
United Homes Group Inc,3.98807e-06
Revolution Medicines Inc,3.40385e-06
Comtech Telecommunications Corp.,3.21709e-06
Lotus Technology Inc.,2.3036000000000003e-06
LanzaTech Global Inc,1.9585699999999998e-06
Nine Energy Service Inc,1.93504e-06
MedAvail Holdings Inc,1.8525200000000002e-06
Battery Future Acquisition Corp,1.5472000000000002e-06
Bridger Aerospace Group Holdings Inc,1.48932e-06
Neximmune Inc,1.4679900000000001e-06
Pegasus Digital Mobility Acquisition Corp,1.44709e-06
PowerUp Acquisition Corp,1.2996500000000001e-06
Palladyne AI Corp.,1.23999e-06
Cano Health Inc,1.21095e-06
LIVEWIRE GROUP INC *W EXP 09/26/202,1.20267e-06
Lavoro Ltd,1.1604e-06
Kensington Capital Acquisition Corp V,1.14338e-06
SK Growth Opportunities Corp,1.01084e-06
Borealis Foods Inc.,9.9708e-07
Adit Edtech Acquisition Corp,9.72284e-07
RCF Acquisition Corp,9.301790000000001e-07
NET POWER INC Warrants Exp June 8 2028,9.07693e-07
Rigel Resource Acquisition Corp,8.87064e-07
Pyrophyte Acquisition Corp,8.38585e-07
Zeo Energy Corp.,6.68392e-07
Investcorp India Acquisition Corp,6.26618e-07
TortoiseEcofin Acquisition Corp III,5.960450000000001e-07
bleuacacia ltd,5.84493e-07
Cartica Acquisition Corp,5.77417e-07
Patria Latin American Opportunity Acquisition Corp,5.56994e-07
BlueRiver Acquisition Corp,5.45998e-07
Pearl Holdings Acquisition Corp,4.96343e-07
SDCL EDGE Acquisition Corp,4.8772e-07
Spree Acquisition Corp 1 Ltd,4.87369e-07
AltEnergy Acquisition Corp,4.57972e-07
Nuvation Bio Inc,3.3007e-07
SomaLogic Inc,3.09503e-07
NKGen Biotech Inc,3.03025e-07
Edify Acquisition Corp,2.59456e-07
bleuacacia ltd,2.25789e-07
LANVIN GROUP HOLDINGS LIMITE *W EXP 99/99/999,1.86964e-07
RMG Acquisition Corp III,1.78795e-07
Mountain & Co I Acquisition Corp,1.7108e-07
Constellation Acquisition Corp I,1.69842e-07
ExcelFin Acquisition Corp,1.57052e-07
Slam Corp,1.5678299999999998e-07
Zapp Electric Vehicles Group Ltd,1.37062e-07
Jaws Mustang Acquisition Corporation,1.26252e-07
Spectaire Holdings Inc,9.90211e-08
Montana Technologies Corp.,9.28323e-08
Palladyne AI Corp.,4.7653900000000006e-08
