name,current_percent_of_portfolio
Martin Marietta Materials Inc.,0.00138985
CSX Corp,0.00137287
Motorola Solutions Inc,0.00136452
Marriott International Inc/MD,0.0013473699999999999
"Humana, Inc.",0.00133833
Align Technology Inc,0.00133179
AZEK Company Inc.,0.00130799
"American Tower Corp., Class A",0.0013039999999999998
Cymabay Therapeutics Inc,0.00128054
"Liberty Sirius XM Group, Series C",0.00126553
"Zoetis, Inc.",0.0012587000000000002
Entergy Corp.,0.0012534400000000002
F5 Networks Inc,0.00124244
PayPal Holdings Inc,0.00123185
Moodys Corp,0.00123155
"Freeport-McMoRan Copper & Gold, Inc",0.00122324
Roivant Sciences Ltd,0.00122205
Air Products & Chemicals Inc,0.00121857
Lockheed Martin Corp.,0.00121734
IQVIA Holdings Inc,0.00121612
Pool Corp,0.00120244
"Comerica, Inc. (Detroit, MI) (Detroit Bank & Trust)",0.0011977000000000001
Eversource Energy (Western Massachusetts Cos./Northeast Utilities),0.001196
DTE Energy Co. (Detroit Edison),0.00119487
Amphenol Corp. (1987),0.00117178
Evergy Inc,0.00116912
Reinsurance Group of America Inc,0.0011681
Bank of NT Butterfield & Son Limited,0.00116783
Immunovant Inc,0.00115747
CarMax Inc.,0.00115424
Splunk Inc,0.00115364
Seadrill Ltd.,0.00115272
Liberty Broadband Corp Class C,0.0011377800000000001
Arista Networks Inc,0.00112861
"Autodesk, Inc.",0.00111853
Everest Group Ltd,0.0011100300000000001
"Mettler-Toledo International, Inc.",0.00109847
Phillips 66,0.0010915
Amalgamated Bank,0.0010910100000000001
Northrop Grumman Corp.,0.00108863
"Airbnb, Inc.",0.0010877299999999999
Federal Realty Investment Trust,0.00108716
Welltower Inc.,0.00108374
U.S. Bancorp (First National Bank of Cincinnati),0.00108145
Leidos Holdings Inc,0.00107252
Norfolk Southern Corp.,0.0010713699999999999
Marvell Technology Group Ltd,0.00107076
Axalta Coating Systems Ltd,0.00105117
Chord Energy Corp,0.00104985
Fortive Corp,0.00104835
Cenovus Energy Inc,0.0010304399999999999
"KeyCorp, Inc. (Cleveland, Ohio)",0.00102768
Cincinnati Financial Corp. (Cincinnati Insurance Co.),0.00101892
"PPG Industries, Inc. (Pittsburgh Plate Glass)",0.001015
Ultragenyx Pharmaceutical Inc,0.0010111599999999999
Sable Offshore Corp.,0.00100369
Crown Castle International Corp,0.00100175
Capital One Financial Corp,0.00100048
NiSource Inc.,0.00100037
Xenon Pharmaceuticals Inc,0.000996488
"Ventas, Inc.",0.0009931080000000001
Truist Financial Corp,0.000986674
Aptiv PLC,0.000971336
"Digital Realty Trust, Inc.",0.0009694850000000001
Newmont Mining Corp. (Holding Co.),0.000955886
"Sempra Energy, Inc.",0.000942355
Arthur J. Gallagher & Co Inc,0.0009264500000000001
MSCI Inc,0.00089618
Disc Medicine Inc,0.000893665
Southwestern Energy Co.,0.000890403
Occidental Petroleum Corp.,0.000888543
Ecolab Inc.,0.000885986
Pultegroup Inc,0.000882409
Inspire Medical Systems Inc,0.000880941
General Dynamics Corp. (Electric Boat),0.0008798440000000001
NXP Semiconductors N.V.,0.000878492
General Mills Co.,0.000877629
Fair Isaac Corp,0.0008764679999999999
Duke Energy Corp.,0.000873044
United States Steel Corp.,0.0008723400000000001
KalVista Pharmaceuticals Inc,0.0008662730000000001
CBRE Group Inc Common Stock Class A,0.000859307
"Albertsons Companies, Inc.",0.000858652
Nucor Corp. (Nuclear Corp. of America),0.000857373
Argenx SE ADS ADR,0.000855052
Stryker Corp.,0.000846527
Silicon Motion Technology Corp ADR,0.0008451250000000001
"Unum Group, Inc.",0.0008395750000000001
Marathon Petroleum Corp,0.000838169
Realty Income Corp.,0.000832968
Talos Energy Inc,0.000823531
KLA Corp,0.000822282
Novartis AG ADS,0.0008216650000000001
Royal Caribbean Cruises Ltd,0.000815414
IDEXX Laboratories Inc.,0.000809551
Mirati Therapeutics Inc,0.0008089019999999999
Bank Of New York Mellon Corp,0.000802116
Monster Beverage Corp.,0.000799265
Viper Energy Inc,0.00079404
Carlisle Companies Inc,0.0007863190000000001
Hayward Holdings Inc,0.000783063
Aura Biosciences Inc,0.00077223
Archer-Daniels-Midland Co.,0.000771882
Dow Inc,0.0007707650000000001
"Ameriprise Financial, Inc.",0.000769995
Darden Restaurants Inc,0.000767206
Hilton Worldwide Holdings Inc,0.0007666820000000001
MeiraGTx Holdings plc,0.000766323
Walgreens Boots Alliance Inc.,0.0007647760000000001
Legend Biotech Corp ADS,0.000763381
Cognizant Technology Solutions Corp,0.000758891
Colgate-Palmolive Co.,0.0007571
"Simon Property Group, Inc.",0.0007558389999999999
TransDigm Group Inc,0.0007553210000000001
Charles River Laboratories International Inc,0.000751294
Taiwan Semiconductor Manufacturing Co Ltd ADR,0.00075091
Fortinet Inc,0.0007475130000000001
Copart Inc.,0.0007467379999999999
Savara Inc,0.0007405589999999999
Allstate Corp (The),0.000734109
"Yum! Brands, Inc. (Tricon Global Restaurants)",0.000733973
ONEOK Inc. (Oklahoma Natural Gas),0.000732845
Silicon Laboratories Inc,0.000723092
Schlumberger Ltd.,0.0007228950000000001
Edwards Lifesciences Corp.,0.0007222309999999999
"89bio, Inc.",0.000720095
Microchip Technology Inc,0.000715308
Fidelity National Information Services Inc,0.0007132610000000001
Perella Weinberg Partners,0.0007101780000000001
Avery Dennison Corp.,0.000705638
"Gartner, Inc.",0.000704474
"PNM Resources, Inc.",0.00070226
Chesapeake Utilities Corp,0.000699782
Mereo BioPharma Group Plc,0.000696613
Tango Therapeutics Inc,0.0006943850000000001
Southwest Gas Holdings Inc,0.0006861079999999999
Allegion plc,0.000680228
"Extra Space Storage, Inc.",0.000678701
Corteva Inc,0.000676706
Gentex Corp.,0.000673756
"Electronic Arts, Inc.",0.000671049
Arvinas Holding Company LLC,0.000670356
Kimberly-Clark Corp.,0.000669366
Wayfair Inc Class A,0.000668238
Gulfport Energy Corp,0.0006633110000000001
Equity Residential,0.000663237
"DuPont de Nemours, Inc.",0.000662899
Avantor Inc,0.0006594039999999999
Shell Plc,0.000658346
Flowserve Corporation,0.000649913
UGI Corp. (United Gas Improvement),0.000647041
Kosmos Energy Ltd,0.000636747
ON Semiconductor Corp,0.000631891
"ANSYS, Inc.",0.0006310689999999999
Evolent Health Inc,0.000627809
SBA Communications Corp.,0.00062697
Jabil Inc,0.000625671
"Allegro MicroSystems, Inc.",0.0006254429999999999
CoStar Group Inc,0.000625032
ASML Holding NV (ADR),0.000624545
GSK Plc,0.000623883
