Name,Amount
SEQUOIA CAPITAL INDIA VENTURE VIII,2827346
CANAAN VIII,2729450
SEQUOIA CAPITAL CHINA GROWTH VII,2688200
SEQUOIA CAPITAL CHINA VENTURE IX,2629370
WATER STREET HEALTHCARE PARTNERS CO‐INVESTMENT,2450473
SEQUOIA CAPITALCHINA SEED III,2399819
ICONIQ STRATEGIC PARTNERS VII,2360489
H.I.G. BAYSIDE II,2136104
SEQUOIA CAPITAL INDIA GROWTH IV,1534662
THE HOUSE FUND OPPORTUNITY III,1443431
THE HOUSE FUND III,1279630
SEQUOIA SEA I,1215579
APOLLO INVESTMENT FUND VI,900659
SUN CAPITAL PARTNERS IV,799202
EQT PARTNERS CO‐INVESTMENT,783394
SHAMROCK CAPITAL ADVISORS CO‐INVESTMENT,723525
JLL PARTNERS CO‐INVESTMENT,409000
H.I.G. CAPITAL PARTNERS IV,408771
APOLLO INVESTMENT FUND VII LP,256496
BLACKSTONE CAPITAL PARTNERS IV,179906
FOUNTAINVEST CHINA GROWTH CAPITAL FUND,172477
LIME ROCK PARTNERS VI,103906
VESTAR CAPITAL PARTNERS V,99200
"BLACKSTONE CAPITAL PARTNERS V, L.P.",85960
CLAREMONT CREEK VENTURES,56142
BARING PRIVATE EQUITY ASIA CO‐INVESTMENT,30258
