Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
Unrestricted Data Divider,
Fund Name:,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
Ammount of companies in fund (restricted),489
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-sp-500-fossil-fuel-reserves-free-etf-spyx
Company,Index Weight
VALERO ENERGY CORP,0.00136583
ECOLAB INC,0.00134979
AON PLC CLASS A,0.00134624
CAPITAL ONE FINANCIAL CORP,0.00132759
NORFOLK SOUTHERN CORP,0.00131233
ROPER TECHNOLOGIES INC,0.00131
WELLTOWER INC,0.0012797
AIR PRODUCTS + CHEMICALS INC,0.00127869
GENERAL MOTORS CO,0.00127509
AMERICAN INTERNATIONAL GROUP,0.00127508
EDWARDS LIFESCIENCES CORP,0.0012505
CARRIER GLOBAL CORP,0.00124916
AUTOZONE INC,0.00124742
HILTON WORLDWIDE HOLDINGS IN,0.00122312
3M CO,0.00122078
ARTHUR J GALLAGHER + CO,0.00121653
TRUIST FINANCIAL CORP,0.00121458
MICROCHIP TECHNOLOGY INC,0.00120801
FORD MOTOR CO,0.00120156
COPART INC,0.00117629
NEWMONT CORP,0.00117439
TRAVELERS COS INC/THE,0.00116801
DEXCOM INC,0.00115914
UNITED RENTALS INC,0.00115725
WILLIAMS COS INC,0.00113819
SIMON PROPERTY GROUP INC,0.00113126
ONEOK INC,0.00112852
AUTODESK INC,0.00111715
KIMBERLY CLARK CORP,0.00110072
AMERICAN ELECTRIC POWER,0.00108705
SEMPRA,0.00108223
REALTY INCOME CORP,0.00107838
ALLSTATE CORP,0.00107163
JOHNSON CONTROLS INTERNATION,0.00106862
AFLAC INC,0.00106767
ROSS STORES INC,0.00106329
TE CONNECTIVITY LTD,0.00106204
METLIFE INC,0.00105578
DR HORTON INC,0.00105481
BANK OF NEW YORK MELLON CORP,0.00104437
GE VERNOVA INC,0.00103767
DIGITAL REALTY TRUST INC,0.00103412
IQVIA HOLDINGS INC,0.00103067
NUCOR CORP,0.00102964
DOMINION ENERGY INC,0.00101833
CONSTELLATION BRANDS INC A,0.0010119
IDEXX LABORATORIES INC,0.00100662
AMERIPRISE FINANCIAL INC,0.00100083
CUMMINS INC,0.00099922
PUBLIC STORAGE,0.00099832
LULULEMON ATHLETICA INC,0.00099623
WW GRAINGER INC,0.00098919
L3HARRIS TECHNOLOGIES INC,0.00098629
FORTINET INC,0.00098252
FIDELITY NATIONAL INFO SERV,0.00098198
CROWN CASTLE INC,0.00098171
AGILENT TECHNOLOGIES INC,0.00098128
AMETEK INC,0.00097337
PRUDENTIAL FINANCIAL INC,0.00097017
DOW INC,0.00096887
YUM BRANDS INC,0.00096831
MONSTER BEVERAGE CORP,0.00096672
GENERAL MILLS INC,0.00095677
REPUBLIC SERVICES INC,0.00095381
CENCORA INC,0.00095303
CENTENE CORP,0.00094587
CORTEVA INC,0.00094259
SYSCO CORP,0.00092962
FASTENAL CO,0.00092913
PAYCHEX INC,0.00092496
QUANTA SERVICES INC,0.00092286
LENNAR CORP A,0.00092164
OTIS WORLDWIDE CORP,0.00091507
GE HEALTHCARE TECHNOLOGY,0.00090367
MARTIN MARIETTA MATERIALS,0.00090353
INGERSOLL RAND INC,0.00090111
EXELON CORP,0.00090075
COSTAR GROUP INC,0.00089569
MSCI INC,0.00089497
HUMANA INC,0.00088916
P G + E CORP,0.00088338
KROGER CO,0.00088234
MODERNA INC,0.00087884
KINDER MORGAN INC,0.00086286
KEURIG DR PEPPER INC,0.00084429
GARTNER INC,0.00083043
HALLIBURTON CO,0.00083025
VULCAN MATERIALS CO,0.00082223
PUBLIC SERVICE ENTERPRISE GP,0.00081964
ARCH CAPITAL GROUP LTD,0.00081208
ROYAL CARIBBEAN CRUISES LTD,0.00081001
ESTEE LAUDER COMPANIES CL A,0.00080895
COGNIZANT TECH SOLUTIONS A,0.00079994
CDW CORP/DE,0.00079871
BAKER HUGHES CO,0.0007977
OLD DOMINION FREIGHT LINE,0.00079749
MONOLITHIC POWER SYSTEMS INC,0.00079087
KENVUE INC,0.00079064
GLOBAL PAYMENTS INC,0.00078009
ARCHER DANIELS MIDLAND CO,0.00077642
CONSOLIDATED EDISON INC,0.00077624
DELTA AIR LINES INC,0.00077315
DISCOVER FINANCIAL SERVICES,0.00076801
VERISK ANALYTICS INC,0.00076603
ROCKWELL AUTOMATION INC,0.00076319
DUPONT DE NEMOURS INC,0.00076263
RESMED INC,0.00076121
XYLEM INC,0.00075823
ELECTRONIC ARTS INC,0.00075556
DOLLAR GENERAL CORP,0.00074339
BIOGEN INC,0.00074067
PPG INDUSTRIES INC,0.00073439
KRAFT HEINZ CO/THE,0.00073167
TRACTOR SUPPLY COMPANY,0.00072995
ON SEMICONDUCTOR,0.00072767
