Name,Total_investment,UCRP_Amount,GEP_Amount
COLLIDE CAPITAL I,2818173,0,2818173
COLUMN GROUP CO-INVESTMENT,41783113,0,41783113
COLUMN GROUP CO‐INVESTMENT,27751944,27751944,0
COLUMN GROUP I,10931301,0,10931301
COLUMN GROUP II,29856105,0,29856105
COLUMN GROUP III,58682223,0,58682223
COLUMN GROUP IV,81799973,0,81799973
CONGRUENT VENTURES,63809002,54237652,9571350
"CONGRUENT VENTURES II, LP",11947242,10155156,1792086
CORE CREDIT,3990645381,3990645381,0
CORE GOVERNMENT,5395972430,4521987034,873985396
DCP CAPITAL PARTNERS CO-INVESTMENT,5520000,0,5520000
DCP CAPITAL PARTNERS CO‐INVESTMENT,12880000,12880000,0
DCP I,102288274,30686482,71601792
DIGITAL COLONY CO-INVESTMENT,16489483,0,16489483
DIGITAL COLONY CO‐INVESTMENT,93440402,93440402,0
DIGITAL COLONY FUND II,150871976,128241180,22630796
DIGITAL COLONY PARTNERS,214363480,214363480,0
DIGITAL COLONY PARTNERS (CAYMAN) OBF LP,37829803,0,37829803
EARNEST PARTNERS SMALL CAP VALUE,267391254,267391254,0
EATON VANCE HIGH YIELD,463303211,463303211,0
EMG II,63219188,53736310,9482878
ENCAP FLATROCK MIDSTREAM CO-INVESTMENT,577690,0,577690
ENCAP FLATROCK MIDSTREAM CO‐INVESTMENT,3273574,3273574,0
ENCAP FLATROCK MIDSTREAM FUND II,3170260,2694721,475539
ENCAP FLATROCK MIDSTREAM FUND III,34049883,28942401,5107482
"ENCAP FLATROCK MIDSTREAM FUND IV, L.P.",44057341,37448740,6608601
ENERGY & MINERALS GROUP CO-INVESTMENT,4088535,0,4088535
ENERGY & MINERALS GROUP CO‐INVESTMENT,23168364,23168364,0
ENGINE ACCELERATOR CO-INVESTMENT,2999565,0,2999565
ENGINE ACCELERATOR CO‐INVESTMENT,6998984,6998984,0
EQT INFRA IV NO.2 USD SCSP,214645817,214645817,0
EQT INFRASTRUCTURE II,5335071,4534810,800261
EQT INFRASTRUCTURE III,37401669,31791419,5610250
EQT INFRASTRUCTURE IV,37878674,0,37878674
EQT INFRASTRUCTURE V (NO.2) USD SCSP,193466931,164446891,29020040
EQT IX,218373003,218373003,0
EQT PARTNERS CO-INVESTMENT,29357349,0,29357349
EQT PARTNERS CO‐INVESTMENT,110498841,110498841,0
EQT VIII,147861421,147861421,0
EXUMA CAPITAL,114777321,76491140,38286181
FAIRFAX ALLIED WORLD ASSURANCE,29616111,29616111,0
FALCON CI II,76061781,46654159,29407622
FOCUS SENIOR HOUSING FUND I,91323491,61186739,30136752
FOUNDATION ENERGY FUND IV,932001,792201,139800
