Name,Investment_Type,Total_investment,UCRP_Amount,GEP_Amount
OLYMPUS GROWTH FUND VII,PRIVATE EQUITY,139945029,139945029,0
ARIEL US SMALL CAP,PUBLIC EQUITY,139773056,139773056,0
SG GROWTH PARTNERS IV,PRIVATE EQUITY,139214541,0,139214541
THOMA BRAVO GROWTH I,PRIVATE EQUITY,136206484,102154863,34051621
CLEARLAKE CO-INVESTMENT,PRIVATE EQUITY,136187998,122603275,13584723
ARSENAL CAPITAL PARTNERS V LP,PRIVATE EQUITY,133968224,93777757,40190467
APOLLO DEDICATED INVEST POOL,REAL ASSETS,132341164,112489989,19851175
ORION MINE FINANCE FUND II,REAL ASSETS,128873188,109542210,19330978
INCENTIVE ACTIVE VALUE,PUBLIC EQUITY,127086823,15952783,111134040
CIM INFRASTRUCTURE II,REAL ASSETS,127026871,107972840,19054031
APOLLO FUND IX,PRIVATE EQUITY,126439468,126439468,0
AIMBRIDGE SEPARATE ACCOUNT,REAL ESTATE,124296576,124296576,0
BLACKSTONE REAL ESTATE PARTNERS X LP,REAL ESTATE,124271292,82851670,41419622
BLACKSTONE PROPERTY PARTNERS EUROPE,REAL ESTATE,122002680,91502010,30500670
APOLLO FINANCIAL CREDIT INVESTMENT III,REAL ASSETS,120342055,102290747,18051308
TSG CONSUMER PARTNERS CO-INVESTMENT,PRIVATE EQUITY,120056808,120056808,0
TPG CAPITAL VIII,PRIVATE EQUITY,117994472,117994472,0
BLACKROCK GROUP CO-INVESTMENT,PRIVATE EQUITY,116653807,116653807,0
DIGITAL COLONY CO-INVESTMENT,REAL ASSETS,115800554,98430471,17370083
BLUE OWL,PRIVATE CREDIT,113823649,90804014,23019635
STONEPEAK INFRA FD III LP,REAL ASSETS,113684181,113684181,0
1-5 YEAR CREDIT,FIXED INCOME,112700326,0,112700326
BERKSHIRE FUND IX,PRIVATE EQUITY,112591240,0,112591240
TSG 9,PRIVATE EQUITY,111552212,78086548,33465664
BLACKSTONE STRATEGIC PARTNERS VIII,PRIVATE EQUITY,109843516,109843516,0
EQT INFRA IV NO.2 USD SCSP,REAL ASSETS,109646741,109646741,0
SEQUOIA CAPITAL GGF III CHINA ANNEX,PRIVATE EQUITY,108353114,65175215,43177899
IPI DATA CENTER FUND I,REAL ESTATE,105922374,52961187,52961187
PRISA SA,REAL ESTATE,104427232,104427232,0
BROOKFIELD FAIRFIELD VAMF III,REAL ESTATE,104254086,52127043,52127043
ARSENAL CAPITAL PARTNERS VI,PRIVATE EQUITY,101822834,71275984,30546850
THOMA BRAVO DISCOVER IV,PRIVATE EQUITY,101702284,81361827,20340457
PRISA II,REAL ESTATE,100854658,100854658,0
EXUMA CAPITAL,ABSOLUTE RETURN,92410274,61585051,30825223
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,92045857,92045857,0
TPG GROWTH IV,PRIVATE EQUITY,89647631,58702423,30945208
H.I.G. EUROPE MIDDLE MARKET LBO FUND,PRIVATE EQUITY,89044539,89044539,0
EQT X,PRIVATE EQUITY,87622163,58414775,29207388
THOMA BRAVO DISCOVER II,PRIVATE EQUITY,85204654,0,85204654
"OWL ROCK FIRST LIEN FUND, L.P",PRIVATE CREDIT,84780059,84780059,0
MOLPUS - SEVEN STATES TIMBERLAND,REAL ASSETS,83855564,71277229,12578335
ARSENAL CAPITAL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,82087928,82087928,0
BROOKFIELD,PRIVATE CREDIT,80360000,0,80360000
LION PROPERTIES FUND,REAL ESTATE,80266031,80266031,0
KHOSLA VENTURES V,PRIVATE EQUITY,80101121,80101121,0
WANAKA FUND,ABSOLUTE RETURN,78780247,53490373,25289874
APOLLO FUND X,PRIVATE EQUITY,78454170,53797145,24657025
BLACKSTONE REAL ESTATE PARTNERS ASIA II,REAL ESTATE,76163773,76163773,0
LAFAYETTE SQUARE,PRIVATE CREDIT,76004512,60803610,15200902
H.I.G. MIDDLE MARKET LBO FUND III,PRIVATE EQUITY,72990845,72990845,0
GGV CAPITAL V,PRIVATE EQUITY,72283189,72283189,0
TORL BIOTHERAPEUTICS,PRIVATE EQUITY,71875000,0,71875000
DCP I,PRIVATE EQUITY,70086876,21026063,49060813
ORION RESOURCE PARTNERS CO-INVESTMENT,REAL ASSETS,67038391,56982632,10055759
ORION RESOURCES FUND III,REAL ASSETS,66340087,56389074,9951013
TSG8 L.P.,PRIVATE EQUITY,66141608,44765782,21375826
LION INDUSTRIAL TRUST,REAL ESTATE,65622485,54254961,11367524
RNT CAPITAL CO-INVESTMENT,PRIVATE EQUITY,61163895,45872921,15290974
ICONIQ STRATEGIC PARTNERS VII,PRIVATE EQUITY,60587612,30293806,30293806
TPG CAPITAL CO-INVESTMENT,PRIVATE EQUITY,60172004,60172004,0
BREGAL SAGEMOUNT IV,PRIVATE EQUITY,60099632,40066421,20033211
THE RISE FUND LP,PRIVATE EQUITY,59584557,59584557,0
H.I.G. EUROPE CAPITAL PARTNERS III,PRIVATE EQUITY,59022692,0,59022692
