Fund Name (AS CITED),ADAGE CAPITAL PARTNERS GP LLC
Internal Name,ADAGE CAPITAL PARTNERS GP LLC
Restricted y/n,n
Ammount of companies in fund (restricted),905
Filing Date (restricted),2026-02-17
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
HOST HOTELS & RESORTS INC,0.0001434
LAMB WESTON HLDGS INC,0.0001432
ZSCALER INC,0.0001430
SMUCKER J M CO,0.0001426
VELOCITY FINL INC,0.0001414
AMER SPORTS INC,0.0001413
RAPT THERAPEUTICS INC,0.0001410
REGAL REXNORD CORPORATION,0.0001409
4D MOLECULAR THERAPEUTICS IN,0.0001402
AES CORP,0.0001395
SAMSARA INC,0.0001395
NEPTUNE INS HLDGS INC,0.0001390
NORWEGIAN CRUISE LINE HLDG L,0.0001388
WYNN RESORTS LTD,0.0001388
LIFEZONE METALS LIMITED,0.0001388
HILTON WORLDWIDE HLDGS INC,0.0001382
HEALTHPEAK PROPERTIES INC,0.0001381
FORTE BIOSCIENCES INC,0.0001376
INVIVYD INC,0.0001369
ALMONTY INDS INC,0.0001367
CAMDEN PPTY TR,0.0001351
LIFESTANCE HEALTH GROUP INC,0.0001350
BAXTER INTL INC,0.0001342
METTLER TOLEDO INTERNATIONAL,0.0001320
ALBERTSONS COS INC,0.0001304
CANTALOUPE INC,0.0001295
MAMMOTH ENERGY SVCS INC,0.0001281
VERALTO CORP,0.0001271
GEN DIGITAL INC,0.0001262
CINCINNATI FINL CORP,0.0001258
EQUILLIUM INC,0.0001250
SNOWFLAKE INC,0.0001245
HELIX ENERGY SOLUTIONS GRP I,0.0001234
SOLID BIOSCIENCES INC,0.0001195
BRIXMOR PPTY GROUP INC,0.0001190
CHEWY INC,0.0001190
IMMIX BIOPHARMA INC,0.0001187
SHARKNINJA INC,0.0001185
XENIA HOTELS & RESORTS INC,0.0001177
PENN ENTERTAINMENT INC,0.0001177
BRUKER CORP,0.0001176
ALIGN TECHNOLOGY INC,0.0001163
TAIWAN SEMICONDUCTOR MFG LTD,0.0001150
QUINCE THERAPEUTICS INC,0.0001141
FASTENAL CO,0.0001133
TAYSHA GENE THERAPIES INC,0.0001105
OLIN CORP,0.0001103
GENERAC HLDGS INC,0.0001093
MOLSON COORS BEVERAGE CO,0.0001080
RYMAN HOSPITALITY PPTYS INC,0.0001074
PAYCOM SOFTWARE INC,0.0001064
FACTSET RESH SYS INC,0.0001045
MOSAIC CO NEW,0.0001045
AUTONATION INC,0.0001031
MGM RESORTS INTERNATIONAL,0.0001023
HBT FINL INC.,0.0001008
AEVA TECHNOLOGIES INC,0.0001005
FERMI INC,0.0000993
SYNCHRONY FINANCIAL,0.0000989
ULTRAGENYX PHARMACEUTICAL IN,0.0000975
BOOZ ALLEN HAMILTON HLDG COR,0.0000956
HORMEL FOODS CORP,0.0000944
SUNOCOCORP LLC,0.0000944
ATLAS ENERGY SOLUTIONS INC,0.0000928
EPAM SYS INC,0.0000927
TEXTRON INC,0.0000912
BORR DRILLING LTD,0.0000907
ITHAX ACQUISITION CORP III,0.0000906
AVIDBANK HLDGS INC,0.0000886
AVEANNA HEALTHCARE HLDGS INC,0.0000874
CYBIN INC,0.0000867
OVID THERAPEUTICS INC,0.0000861
MILESTONE PHARMACEUTICALS IN,0.0000859
CONSTELLIUM SE,0.0000856
CHATHAM LODGING TR,0.0000850
INVITATION HOMES INC,0.0000848
CONAGRA BRANDS INC,0.0000846
PROTARA THERAPEUTICS INC,0.0000842
JANUX THERAPEUTICS INC,0.0000835
ASSEMBLY BIOSCIENCES INC,0.0000829
VERTICAL AEROSPACE LTD,0.0000815
DYNAMIX CORP,0.0000808
GE HEALTHCARE TECHNOLOGIES I,0.0000805
ALLIANT ENERGY CORP,0.0000798
OLEMA PHARMACEUTICALS INC,0.0000795
EMPIRE ST RLTY TR INC,0.0000775
NAVIGATOR HLDGS LTD,0.0000764
PHREESIA INC,0.0000763
MESHFLOW ACQUISITION CORP,0.0000757
CORE SCIENTIFIC INC NEW,0.0000756
CBOE GLOBAL MKTS INC,0.0000750
LANDBRIDGE COMPANY LLC,0.0000741
PRINCIPAL FINANCIAL GROUP IN,0.0000741
COMPOSECURE INC,0.0000729
OLD SECOND BANCORP INC ILL,0.0000718
ARTESIAN RES CORP,0.0000718
LIVE NATION ENTERTAINMENT IN,0.0000714
CENTURY ALUM CO,0.0000712
MODINE MFG CO,0.0000707
RAPPORT THERAPEUTICS INC,0.0000689
BLUEROCK ACQUISITION CORP,0.0000681
ORIC PHARMACEUTICALS INC,0.0000680
INOVIO PHARMACEUTICALS INC,0.0000672
NORDSON CORP,0.0000662
ATRICURE INC,0.0000660
TOMPKINS FINL CORP,0.0000659
POWER SOLUTIONS INTL INC,0.0000649
RELAY THERAPEUTICS INC,0.0000640
BROWN FORMAN CORP,0.0000627
SIRIUSXM HOLDINGS INC,0.0000625
TANDEM DIABETES CARE INC,0.0000609
FRANKLIN RESOURCES INC,0.0000606
NOVABRIDGE BIOSCIENCES,0.0000602
AVERY DENNISON CORP,0.0000600
AKAMAI TECHNOLOGIES INC,0.0000593
PAPA JOHNS INTL INC,0.0000583
SHUTTERSTOCK INC,0.0000570
PARAMOUNT SKYDANCE CORP,0.0000569
CAPRICOR THERAPEUTICS INC,0.0000568
STAAR SURGICAL CO,0.0000558
ICU MED INC,0.0000540
COGENT BIOSCIENCES INC,0.0000538
SUNCOR ENERGY INC NEW,0.0000537
PRECIGEN INC,0.0000535
NET POWER INC,0.0000531
VULCAN MATLS CO,0.0000531
FORWARD AIR CORP,0.0000518
VENTYX BIOSCIENCES INC,0.0000512
HALLIBURTON CO,0.0000508
ATMOS ENERGY CORP,0.0000505
JANUS HENDERSON GROUP PLC,0.0000504
NEWS CORP NEW,0.0000500
CARDINAL HEALTH INC,0.0000487
NEXTDOOR HOLDINGS INC,0.0000477
HARMONY BIOSCIENCES HLDGS IN,0.0000476
COHEN & STEERS INC,0.0000475
KARYOPHARM THERAPEUTICS INC,0.0000469
HUNT J B TRANS SVCS INC,0.0000459
BATH & BODY WORKS INC,0.0000456
DXP ENTERPRISES INC,0.0000449
CONCENTRA GROUP HOLDINGS PAR,0.0000445
HIGHWOODS PPTYS INC,0.0000428
INGERSOLL RAND INC,0.0000415
SCHNEIDER NATIONAL INC,0.0000412
PASITHEA THERAPEUTICS CORP,0.0000410
ALIGNMENT HEALTHCARE INC,0.0000406
ARCHER AVIATION INC,0.0000398
PPL CORP,0.0000398
TWO HBRS INVT CORP,0.0000397
CANTOR EQUITY PARTNERS V INC,0.0000388
C H ROBINSON WORLDWIDE INC,0.0000385
ZEVRA THERAPEUTICS INC,0.0000373
SUTRO BIOPHARMA INC,0.0000350
ADICET BIO INC,0.0000350
SOLARIS ENERGY INFRAS INC,0.0000348
GAP INC,0.0000341
OPUS GENETICS INC,0.0000336
COMMUNITY FINANCIAL SYSTEM I,0.0000332
MOLINA HEALTHCARE INC,0.0000326
STERIS PLC,0.0000325
MEDLINE INC,0.0000324
INDEPENDENT BK CORP MASS,0.0000321
COPART INC,0.0000319
FLOWCO HLDGS INC,0.0000312
MATCH GROUP INC NEW,0.0000308
SURROZEN INC,0.0000303
DICKS SPORTING GOODS INC,0.0000300
PEAPACK-GLADSTONE FINL CORP,0.0000297
ASTEC INDS INC,0.0000295
CROSS CTRY HEALTHCARE INC,0.0000282
MOOG INC,0.0000278
CENTURY THERAPEUTICS INC,0.0000277
PRIVIA HEALTH GROUP INC,0.0000267
BIOHAVEN LTD,0.0000256
SI-BONE INC,0.0000224
RENEW ENERGY GLOBAL PLC,0.0000214
ADAGIO MED HLDGS INC,0.0000198
ATI INC,0.0000182
PACKAGING CORP AMER,0.0000178
OMADA HEALTH INC,0.0000174
MIDWESTONE FINL GROUP INC NE,0.0000158
TENAX THERAPEUTICS INC,0.0000154
INSULET CORP,0.0000151
TRAWS PHARMA INC,0.0000125
SCHMID GROUP N.V.,0.0000117
AMERICAN AIRLS GROUP INC,0.0000116
IMMUNIC INC,0.0000113
PEPGEN INC,0.0000099
EVOLENT HEALTH INC,0.0000097
PROPETRO HLDG CORP,0.0000072
REVOLUTION MEDICINES INC,0.0000071
IMAGENEBIO INC,0.0000070
EVOLUTION GLOBAL ACQUISITION,0.0000063
OSCAR HEALTH INC,0.0000054
PALLADYNE AI CORP,0.0000054
SELECT WATER SOLUTIONS INC,0.0000048
APEX TREAS CORP,0.0000047
BAIN CAP GSS INVT CORP,0.0000046
LIFEZONE METALS LIMITED,0.0000045
OTG ACQUISITION CORP. I,0.0000044
DYNAMIX CORP III,0.0000043
OPAL FUELS INC,0.0000041
INVEST GREEN ACQUISITION COR,0.0000039
VIKING ACQUISITION CORP I,0.0000038
ACADIA PHARMACEUTICALS INC,0.0000037
HIGHVIEW MERGER CORP,0.0000037
VERIS RESIDENTIAL INC,0.0000035
INSIGHT DIGITAL PARTNERS II,0.0000034
TAILWIND 2.0 ACQUISITION COR,0.0000031
BLUE GOLD LTD,0.0000031
KLX ENERGY SERVICS HOLDNGS I,0.0000029
LIBERTY ENERGY INC,0.0000028
GALATA ACQUISITION CORP II,0.0000027
EQV VENTURES AC CORP. II,0.0000023
RICE ACQUISITION CORP 3,0.0000022
ENSYSCE BIOSCIENCES INC,0.0000021
KOSMOS ENERGY LTD,0.0000021
TALON CAP CORP,0.0000020
TRAILBLAZER ACQUISITION CORP,0.0000019
APPLIED THERAPEUTICS INC,0.0000018
COMTECH TELECOMMUNICATIONS C,0.0000015
NUVATION BIO INC,0.0000013
M3-BRIGADE ACQUISITION VI CO,0.0000012
BTC DEV CORP,0.0000009
BRIDGER AEROSPACE GRP HLDGS,0.0000006
ZEO ENERGY CORP,0.0000004
BAIRD MED INVT HLDGS LTD,0.0000003
CLEANSPARK INC,0.0000003
ASPIRE BIOPHARMA HLDGS INC,0.0000003
PALLADYNE AI CORP,0.0000002
BOREALIS FOODS INC,0.0000002
CLASSOVER HLDGS INC,0.0000000
LANVIN GROUP HOLDINGS LIMITE,0.0000000
