Fund Name (AS CITED),ADAGE CAPITAL PARTNERS GP LLC
Internal Name,ADAGE CAPITAL PARTNERS GP LLC
Restricted y/n,n
Ammount of companies in fund (restricted),905
Filing Date (restricted),2026-02-17
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
HOWMET AEROSPACE INC,0.0012194
ROBINHOOD MKTS INC,0.0012151
T-MOBILE US INC,0.0012130
VAXCYTE INC,0.0012046
KKR & CO INC,0.0011969
SYNOPSYS INC,0.0011953
NIKE INC,0.0011908
HOLOGIC INC,0.0011851
ACUITY INC,0.0011842
KENVUE INC,0.0011825
POOL CORP,0.0011761
DOORDASH INC,0.0011568
AMERICAN TOWER CORP NEW,0.0011229
ABIVAX SA,0.0011225
LOCKHEED MARTIN CORP,0.0011199
ALLEGRO MICROSYSTEMS INC,0.0011195
BANK NEW YORK MELLON CORP,0.0011060
MONDELEZ INTL INC,0.0011032
PUBLIC SVC ENTERPRISE GRP IN,0.0011032
ELEVANCE HEALTH INC FORMERLY,0.0010854
PACCAR INC,0.0010759
MONOLITHIC PWR SYS INC,0.0010679
CME GROUP INC,0.0010653
CYBERARK SOFTWARE LTD,0.0010536
MOODYS CORP,0.0010418
GENERAL MTRS CO,0.0010365
NABORS INDUSTRIES LTD,0.0010355
APPLIED INDL TECHNOLOGIES IN,0.0010281
TRANSDIGM GROUP INC,0.0010263
CADENCE DESIGN SYSTEM INC,0.0010206
AXSOME THERAPEUTICS INC,0.0010160
CONSOLIDATED EDISON INC,0.0010159
ASML HOLDING N V,0.0010120
RHYTHM PHARMACEUTICALS INC,0.0010069
TE CONNECTIVITY PLC,0.0010014
FREEPORT-MCMORAN INC,0.0009965
US BANCORP DEL,0.0009944
CENCORA INC,0.0009891
CORTEVA INC,0.0009841
NUVALENT INC,0.0009789
REGENERON PHARMACEUTICALS,0.0009631
TRANE TECHNOLOGIES PLC,0.0009516
AUTOMATIC DATA PROCESSING IN,0.0009467
OREILLY AUTOMOTIVE INC,0.0009454
CHARLES RIV LABS INTL INC,0.0009409
CORNING INC,0.0009333
UNITED PARCEL SERVICE INC,0.0009202
ECOLAB INC,0.0009143
PG&E CORP,0.0009082
PFIZER INC,0.0009069
VISTRA CORP,0.0009036
FOX CORP,0.0008932
ROYAL CARIBBEAN GROUP,0.0008919
CIDARA THERAPEUTICS INC,0.0008803
ASSURANT INC,0.0008757
MOTOROLA SOLUTIONS INC,0.0008735
NASDAQ INC,0.0008731
DIGITAL RLTY TR INC,0.0008698
TOLL BROTHERS INC,0.0008677
APTIV PLC,0.0008638
EMERSON ELEC CO,0.0008619
STANLEY BLACK & DECKER INC,0.0008609
FEDEX CORP,0.0008569
JABIL INC,0.0008517
OCULAR THERAPEUTIX INC,0.0008498
NISOURCE INC,0.0008443
ENTERGY CORP NEW,0.0008438
3M CO,0.0008396
TELEDYNE TECHNOLOGIES INC,0.0008378
ARMSTRONG WORLD INDS INC NEW,0.0008329
ROPER TECHNOLOGIES INC,0.0008308
RB GLOBAL INC,0.0008308
XYLEM INC,0.0008281
IRON MTN INC DEL,0.0008246
XCEL ENERGY INC,0.0008207
APOLLO GLOBAL MGMT INC,0.0008176
RIO TINTO PLC,0.0008171
CARVANA CO,0.0008156
BEACON FINANCIAL CORP.,0.0008129
FORTUNE BRANDS INNOVATIONS I,0.0007994
SLB LIMITED,0.0007979
NORTHWESTERN ENERGY GROUP IN,0.0007936
INSMED INC,0.0007902
TXNM ENERGY INC,0.0007871
BIOGEN INC,0.0007840
AUTOZONE INC,0.0007707
HUBSPOT INC,0.0007592
MAREX GROUP PLC,0.0007579
COUSINS PPTYS INC,0.0007550
NRG ENERGY INC,0.0007544
PNC FINL SVCS GROUP INC,0.0007533
IDACORP INC,0.0007518
L3HARRIS TECHNOLOGIES INC,0.0007511
AUTODESK INC,0.0007494
NORTHROP GRUMMAN CORP,0.0007486
MONSTER BEVERAGE CORP NEW,0.0007472
NEWAMSTERDAM PHARMA COMPANY,0.0007468
DARDEN RESTAURANTS INC,0.0007408
IDEX CORP,0.0007365
CINTAS CORP,0.0007355
TRIMBLE INC,0.0007338
AIR PRODS & CHEMS INC,0.0007325
ALLIANCE LAUNDRY HLDGS INC,0.0007300
GUARDANT HEALTH INC,0.0007187
HCA HEALTHCARE INC,0.0007186
METLIFE INC,0.0007164
AFLAC INC,0.0007107
PENUMBRA INC,0.0007058
COINBASE GLOBAL INC,0.0007050
ZIONS BANCORPORATION N A,0.0007020
CRANE COMPANY,0.0007006
SEAGATE TECHNOLOGY HLDNGS PL,0.0006969
XPLR INFRASTRUCTURE LP,0.0006962
PALO ALTO NETWORKS INC,0.0006935
AXALTA COATING SYS LTD,0.0006898
AMERICAN HEALTHCARE REIT INC,0.0006837
PERELLA WEINBERG PARTNERS,0.0006757
WESTERN DIGITAL CORP,0.0006743
QUANTA SVCS INC,0.0006740
JAMES HARDIE INDS PLC,0.0006722
AMERICAN FINL GROUP INC OHIO,0.0006634
INTERNATIONAL PAPER CO,0.0006633
UMB FINL CORP,0.0006620
ETORO GROUP LTD,0.0006594
ZEBRA TECHNOLOGIES CORPORATI,0.0006578
FEDERAL RLTY INVT TR NEW,0.0006547
WILLIAMS COS INC,0.0006493
METROPOLITAN BK HLDG CORP,0.0006466
AIRBNB INC,0.0006429
VALERO ENERGY CORP,0.0006415
MONOPAR THERAPEUTICS INC,0.0006320
NXP SEMICONDUCTORS N V,0.0006314
AMERICAN INTL GROUP INC,0.0006307
GALLAGHER ARTHUR J & CO,0.0006259
DAYFORCE INC,0.0006223
EXPAND ENERGY CORPORATION,0.0006180
SHAKE SHACK INC,0.0006179
DELTA AIR LINES INC DEL,0.0006151
UNITED RENTALS INC,0.0006145
ATLASSIAN CORPORATION,0.0006135
TECK RESOURCES LTD,0.0006133
AXON ENTERPRISE INC,0.0006120
TAKE-TWO INTERACTIVE SOFTWAR,0.0006074
FORTINET INC,0.0005957
KIMBERLY-CLARK CORP,0.0005949
WARRIOR MET COAL INC,0.0005938
PAYPAL HLDGS INC,0.0005926
MIAMI INTL HLDGS INC,0.0005920
BRIDGEBIO PHARMA INC,0.0005882
LEIDOS HOLDINGS INC,0.0005881
COHERENT CORP,0.0005866
STRYKER CORPORATION,0.0005836
TIMKEN CO,0.0005818
TENET HEALTHCARE CORP,0.0005770
WW GRAINGER INC,0.0005733
CHART INDS INC,0.0005730
ELEMENT SOLUTIONS INC,0.0005722
AMETEK INC,0.0005681
MIRUM PHARMACEUTICALS INC,0.0005588
LABCORP HOLDINGS INC,0.0005581
ARROWHEAD PHARMACEUTICALS IN,0.0005526
WAYSTAR HLDG CORP,0.0005479
FAIR ISAAC CORP,0.0005475
COGNIZANT TECHNOLOGY SOLUTIO,0.0005474
TARGA RES CORP,0.0005411
SHERWIN WILLIAMS CO,0.0005409
ULTA BEAUTY INC,0.0005352
IDEXX LABS INC,0.0005329
CROWN CASTLE INC,0.0005288
HASBRO INC,0.0005254
MACOM TECH SOLUTIONS HLDGS I,0.0005249
ALLSTATE CORP,0.0005236
SILICON MOTION TECHNOLOGY CO,0.0005214
KEURIG DR PEPPER INC,0.0005199
CHIPOTLE MEXICAN GRILL INC,0.0005195
MSCI INC,0.0005192
RADNET INC,0.0005147
NORTHPOINTE BANCSHARES INC.,0.0005125
NUCOR CORP,0.0005100
AMYLYX PHARMACEUTICALS INC,0.0005077
KYMERA THERAPEUTICS INC,0.0005064
SHELL PLC,0.0005060
GLOBALFOUNDRIES INC,0.0005021
DATADOG INC,0.0005018
REMITLY GLOBAL INC,0.0005012
BUILDERS FIRSTSOURCE INC,0.0005011
TRUIST FINL CORP,0.0004961
FISERV INC,0.0004933
STATE STR CORP,0.0004923
CIVITAS RESOURCES INC,0.0004920
WORKDAY INC,0.0004905
BLOCK INC,0.0004860
MEIRAGTX HLDGS PLC,0.0004813
ARCH CAP GROUP LTD,0.0004732
FIDELITY NATL INFORMATION SV,0.0004701
CANADIAN NATL RY CO,0.0004675
BRIGHT MINDS BIOSCIENCES INC,0.0004674
ROCKWELL AUTOMATION INC,0.0004665
EXTRA SPACE STORAGE INC,0.0004663
XENON PHARMACEUTICALS INC,0.0004647
AMALGAMATED FINANCIAL CORP,0.0004624
ESSENTIAL PPTYS RLTY TR INC,0.0004623
ZOOMINFO TECHNOLOGIES INC,0.0004617
FINANCIAL INSTNS INC,0.0004585
YUM BRANDS INC,0.0004584
BAIN CAP GSS INVT CORP,0.0004577
BEST BUY INC,0.0004562
MONRO INC,0.0004549
CARNIVAL CORP,0.0004531
GARMIN LTD,0.0004530
SOMNIGROUP INTERNATIONAL INC,0.0004499
BXP INC,0.0004494
BARRICK MNG CORP,0.0004482
GATES INDL CORP PLC,0.0004435
TARGET CORP,0.0004405
KLARNA GROUP PLC,0.0004388
ATAI BECKLEY NV,0.0004382
CARETRUST REIT INC,0.0004378
AXIS CAP HLDGS LTD,0.0004376
COTERRA ENERGY INC,0.0004371
NEWS CORP NEW,0.0004354
JEFFERSON CAPITAL INC,0.0004353
BENITEC BIOPHARMA INC,0.0004323
GLAUKOS CORP,0.0004272
EBAY INC.,0.0004259
CHAMPION HOMES INC,0.0004259
ASTERA LABS INC,0.0004248
CARRIER GLOBAL CORPORATION,0.0004226
MARATHON PETE CORP,0.0004218
OTTER TAIL CORP,0.0004209
PHILLIPS EDISON & CO INC,0.0004207
ANNEXON INC,0.0004179
CHURCHILL CAP CORP XI,0.0004172
EQT CORP,0.0004165
KROGER CO,0.0004155
ASTRAZENECA PLC,0.0004145
TERADYNE INC,0.0004143
COLGATE PALMOLIVE CO,0.0004134
CRANE HBR ACQUISITION CORP I,0.0004115
KARBON CAP PARTNERS CORP,0.0004113
OLD DOMINION FREIGHT LINE IN,0.0004074
AMERIPRISE FINL INC,0.0004072
