name,ticker,weight
WARNER BROS DISCOVERY INC,WBD,0.124124
ILLINOIS TOOL WORKS,ITW,0.123953
MOODY S CORP,MCO,0.123882
ECOLAB INC,ECL,0.122813
L3HARRIS TECHNOLOGIES INC,LHX,0.122033
ELEVANCE HEALTH INC,ELV,0.121417
TRANSDIGM GROUP INC,TDG,0.120174
AIR PRODUCTS + CHEMICALS INC,APD,0.120144
GENERAL MOTORS CO,GM,0.119937
SEMPRA,SRE,0.118888
NORFOLK SOUTHERN CORP,NSC,0.118592
KINDER MORGAN INC,KMI,0.118031
TRAVELERS COS INC/THE,TRV,0.116163
CENCORA INC,COR,0.115563
CIENA CORP,CIEN,0.115519
KKR + CO INC,KKR,0.114656
PACCAR INC,PCAR,0.11398
TE CONNECTIVITY PLC,TEL,0.112643
SIMON PROPERTY GROUP INC,SPG,0.112246
BAKER HUGHES CO,BKR,0.109104
CINTAS CORP,CTAS,0.109047
TRUIST FINANCIAL CORP,TFC,0.108885
DIGITAL REALTY TRUST INC,DLR,0.107377
DOORDASH INC   A,DASH,0.106901
CORTEVA INC,CTVA,0.10505
REALTY INCOME CORP,O,0.104544
AUTOZONE INC,AZO,0.103323
ARTHUR J GALLAGHER + CO,AJG,0.102471
ONEOK INC,OKE,0.101492
TARGET CORP,TGT,0.100218
ROBINHOOD MARKETS INC   A,HOOD,0.099211
ALLSTATE CORP,ALL,0.09834
MONOLITHIC POWER SYSTEMS INC,MPWR,0.098304
DOMINION ENERGY INC,D,0.098304
FASTENAL CO,FAST,0.097687
AIRBNB INC CLASS A,ABNB,0.097338
TARGA RESOURCES CORP,TRGP,0.096057
NIKE INC  CL B,NKE,0.095881
FORTINET INC,FTNT,0.095535
DELL TECHNOLOGIES  C,DELL,0.094568
MONSTER BEVERAGE CORP,MNST,0.09452
AFLAC INC,AFL,0.094498
ENTERGY CORP,ETR,0.094125
AUTODESK INC,ADSK,0.09285
CARDINAL HEALTH INC,CAH,0.092223
AMETEK INC,AME,0.092024
KEYSIGHT TECHNOLOGIES IN,KEYS,0.091269
ZOETIS INC,ZTS,0.091193
COMFORT SYSTEMS USA INC,FIX,0.091106
EXELON CORP,EXC,0.090939
APOLLO GLOBAL MANAGEMENT INC,APO,0.090825
NXP SEMICONDUCTORS NV,NXPI,0.089997
WW GRAINGER INC,GWW,0.089547
TERADYNE INC,TER,0.088812
VISTRA CORP,VST,0.088353
XCEL ENERGY INC,XEL,0.087516
EDWARDS LIFESCIENCES CORP,EW,0.086128
ELECTRONIC ARTS INC,EA,0.08414
UNITED RENTALS INC,URI,0.084075
IDEXX LABORATORIES INC,IDXX,0.083245
FORD MOTOR CO,F,0.08322
REPUBLIC SERVICES INC,RSG,0.082239
PUBLIC STORAGE,PSA,0.081357
CARVANA CO,CVNA,0.081252
BECTON DICKINSON AND CO,BDX,0.080766
CARRIER GLOBAL CORP,CARR,0.080053
DELTA AIR LINES INC,DAL,0.079461
YUM  BRANDS INC,YUM,0.079316
WABTEC CORP,WAB,0.079086
CHIPOTLE MEXICAN GRILL INC,CMG,0.079031
NVIDIA CORP,NVDA,0.07885805
EBAY INC,EBAY,0.077917
FIFTH THIRD BANCORP,FITB,0.077687
KROGER CO,KR,0.077183
CONSOLIDATED EDISON INC,ED,0.076402
PAYPAL HOLDINGS INC,PYPL,0.076348
ROCKWELL AUTOMATION INC,ROK,0.075022
PUBLIC SERVICE ENTERPRISE GP,PEG,0.074876
AMERICAN INTERNATIONAL GROUP,AIG,0.074523
MSCI INC,MSCI,0.073091
CBRE GROUP INC   A,CBRE,0.072753
NUCOR CORP,NUE,0.072645
AMERIPRISE FINANCIAL INC,AMP,0.07238
VENTAS INC,VTR,0.071686
METLIFE INC,MET,0.071671
P G + E CORP,PCG,0.071648
DATADOG INC   CLASS A,DDOG,0.071407
NASDAQ INC,NDAQ,0.071339
GARMIN LTD,GRMN,0.071151
COINBASE GLOBAL INC  CLASS A,COIN,0.070001
ROPER TECHNOLOGIES INC,ROP,0.069979
WEC ENERGY GROUP INC,WEC,0.069753
HARTFORD INSURANCE GROUP INC,HIG,0.069487
DR HORTON INC,DHI,0.068869
APPLE INC,AAPL,0.06873405
VULCAN MATERIALS CO,VMC,0.068222
CROWN CASTLE INC,CCI,0.067921
OLD DOMINION FREIGHT LINE,ODFL,0.066706
MARTIN MARIETTA MATERIALS,MLM,0.065975
STATE STREET CORP,STT,0.065875
ARCHER DANIELS MIDLAND CO,ADM,0.064952
MICROCHIP TECHNOLOGY INC,MCHP,0.064748
ARCH CAPITAL GROUP LTD,ACGL,0.063974
TAKE TWO INTERACTIVE SOFTWRE,TTWO,0.063567
KEURIG DR PEPPER INC,KDP,0.063117
PRUDENTIAL FINANCIAL INC,PRU,0.062536
SYSCO CORP,SYY,0.062353
EMCOR GROUP INC,EME,0.061952
KENVUE INC,KVUE,0.060753
BLOCK INC,XYZ,0.060288
RESMED INC,RMD,0.060245
AGILENT TECHNOLOGIES INC,A,0.059943
AXON ENTERPRISE INC,AXON,0.059461
NRG ENERGY INC,NRG,0.059393
HUNTINGTON BANCSHARES INC,HBAN,0.058757
GE HEALTHCARE TECHNOLOGY,GEHC,0.058677
HEWLETT PACKARD ENTERPRISE,HPE,0.058591
KIMBERLY CLARK CORP,KMB,0.058568
HALLIBURTON CO,HAL,0.058425
M + T BANK CORP,MTB,0.058299
ATMOS ENERGY CORP,ATO,0.056705
DTE ENERGY COMPANY,DTE,0.056355
HERSHEY CO/THE,HSY,0.056289
CBOE GLOBAL MARKETS INC,CBOE,0.055821
OTIS WORLDWIDE CORP,OTIS,0.05558
AMEREN CORPORATION,AEE,0.055552
FISERV INC,FISV,0.055314
COGNIZANT TECH SOLUTIONS A,CTSH,0.055271
INTERACTIVE BROKERS GRO CL A,IBKR,0.055245
IRON MOUNTAIN INC,IRM,0.05514
WATERS CORP,WAT,0.054795
UNITED AIRLINES HOLDINGS INC,UAL,0.054671
VICI PROPERTIES INC,VICI,0.054439
XYLEM INC,XYL,0.054059
PAYCHEX INC,PAYX,0.053972
COPART INC,CPRT,0.053811
DOW INC,DOW,0.053562
IQVIA HOLDINGS INC,IQV,0.053239
TELEDYNE TECHNOLOGIES INC,TDY,0.052998
TAPESTRY INC,TPR,0.052913
JABIL INC,JBL,0.052532
CENTERPOINT ENERGY INC,CNP,0.052352
PPL CORP,PPL,0.052312
WORKDAY INC CLASS A,WDAY,0.052097
EXTRA SPACE STORAGE INC,EXR,0.051933
EDISON INTERNATIONAL,EIX,0.05176
DOVER CORP,DOV,0.051037
CARNIVAL CORP,CCL,0.050974
MICROSOFT CORP,MSFT,0.05073239
INGERSOLL RAND INC,IR,0.050732
WILLIS TOWERS WATSON PLC,WTW,0.050615
AMERICAN WATER WORKS CO INC,AWK,0.049279
FIRSTENERGY CORP,FE,0.048958
NORTHERN TRUST CORP,NTRS,0.048738
EXPEDIA GROUP INC,EXPE,0.048253
DOLLAR GENERAL CORP,DG,0.048246
HUBBELL INC,HUBB,0.048131
CITIZENS FINANCIAL GROUP,CFG,0.04797
BIOGEN INC,BIIB,0.047939
EVERSOURCE ENERGY,ES,0.047604
VERISK ANALYTICS INC,VRSK,0.047577
FAIR ISAAC CORP,FICO,0.047382
METTLER TOLEDO INTERNATIONAL,MTD,0.047199
TEXAS PACIFIC LAND CORP,TPL,0.04665
RAYMOND JAMES FINANCIAL INC,RJF,0.046304
STEEL DYNAMICS INC,STLD,0.045727
CINCINNATI FINANCIAL CORP,CINF,0.045608
LIVE NATION ENTERTAINMENT IN,LYV,0.045264
ON SEMICONDUCTOR,ON,0.044771
QNITY ELECTRONICS INC,Q,0.044676
FIDELITY NATIONAL INFO SERV,FIS,0.043894
DEXCOM INC,DXCM,0.043793
OMNICOM GROUP,OMC,0.043692
ULTA BEAUTY INC,ULTA,0.043565
AVALONBAY COMMUNITIES INC,AVB,0.043409
SYNCHRONY FINANCIAL,SYF,0.043399
CMS ENERGY CORP,CMS,0.04316
REGIONS FINANCIAL CORP,RF,0.042504
PPG INDUSTRIES INC,PPG,0.042429
TRACTOR SUPPLY COMPANY,TSCO,0.042404
LABCORP HOLDINGS INC,LH,0.041863
DARDEN RESTAURANTS INC,DRI,0.041433
PULTEGROUP INC,PHM,0.040976
CHURCH + DWIGHT CO INC,CHD,0.040827
NISOURCE INC,NI,0.040779
SBA COMMUNICATIONS CORP,SBAC,0.040302
EQUIFAX INC,EFX,0.040269
QUEST DIAGNOSTICS INC,DGX,0.039954
VERALTO CORP,VLTO,0.039884
STERIS PLC,STE,0.039474
HUMANA INC,HUM,0.039398
VERISIGN INC,VRSN,0.039312
WILLIAMS SONOMA INC,WSM,0.039237
CONSTELLATION BRANDS INC A,STZ,0.03897
ALBEMARLE CORP,ALB,0.038837
ARES MANAGEMENT CORP   A,ARES,0.038554
FIRST SOLAR INC,FSLR,0.038306
NETAPP INC,NTAP,0.03795
LYONDELLBASELL INDU CL A,LYB,0.037864
EQUITY RESIDENTIAL,EQR,0.037833
SMURFIT WESTROCK PLC,SW,0.037567
AMAZON.COM INC,AMZN,0.03744035
CORPAY INC,CPAY,0.037417
LEIDOS HOLDINGS INC,LDOS,0.037192
CF INDUSTRIES HOLDINGS INC,CF,0.037133
DOLLAR TREE INC,DLTR,0.036772
GENERAL MILLS INC,GIS,0.036718
WR BERKLEY CORP,WRB,0.036516
EXPEDITORS INTL WASH INC,EXPD,0.036314
C.H. ROBINSON WORLDWIDE INC,CHRW,0.036175
T ROWE PRICE GROUP INC,TROW,0.03603
KRAFT HEINZ CO/THE,KHC,0.035566
BROWN + BROWN INC,BRO,0.035463
KEYCORP,KEY,0.035021
SNAP ON INC,SNA,0.034842
CHARTER COMMUNICATIONS INC A,CHTR,0.034686
EVERGY INC,EVRG,0.034677
NVR INC,NVR,0.034449
ALLIANT ENERGY CORP,LNT,0.034403
BROADRIDGE FINANCIAL SOLUTIO,BR,0.034283
LENNAR CORP W/D,LEN,0.034167
DUPONT DE NEMOURS INC,DD,0.034104
INTL FLAVORS + FRAGRANCES,IFF,0.034098
TYSON FOODS INC CL A,TSN,0.034016
SOUTHWEST AIRLINES CO,LUV,0.033858
PACKAGING CORP OF AMERICA,PKG,0.033627
LOEWS CORP,L,0.033611
WEST PHARMACEUTICAL SERVICES,WST,0.033559
AMCOR PLC,AMCR,0.033509
INTERNATIONAL PAPER CO,IP,0.033486
ZIMMER BIOMET HOLDINGS INC,ZBH,0.033267
HP INC,HPQ,0.03278
WEYERHAEUSER CO,WY,0.032637
FORTIVE CORP,FTV,0.032613
PRINCIPAL FINANCIAL GROUP,PFG,0.032477
BUNGE GLOBAL SA,BG,0.031733
F5 INC,FFIV,0.031508
ALPHABET INC CL A,GOOGL,0.03149818
PTC INC,PTC,0.031302
MODERNA INC,MRNA,0.031258
ESTEE LAUDER COMPANIES CL A,EL,0.031236
HOLOGIC INC,HOLX,0.031177
AKAMAI TECHNOLOGIES INC,AKAM,0.031083
COSTAR GROUP INC,CSGP,0.030966
LULULEMON ATHLETICA INC,LULU,0.030764
LAS VEGAS SANDS CORP,LVS,0.030111
CENTENE CORP,CNC,0.030062
ESSEX PROPERTY TRUST INC,ESS,0.029631
HUNT (JB) TRANSPRT SVCS INC,JBHT,0.029599
BALL CORP,BALL,0.029431
CDW CORP/DE,CDW,0.029094
ROLLINS INC,ROL,0.029091
HUNTINGTON INGALLS INDUSTRIE,HII,0.028623
INCYTE CORP,INCY,0.028465
TEXTRON INC,TXT,0.02841
TRIMBLE INC,TRMB,0.028371
VIATRIS INC,VTRS,0.028347
JACOBS SOLUTIONS INC,J,0.028048
KIMCO REALTY CORP,KIM,0.027833
GLOBAL PAYMENTS INC,GPN,0.027767
BROADCOM INC,AVGO,0.02725545
GENUINE PARTS CO,GPC,0.026813
LENNOX INTERNATIONAL INC,LII,0.0268
MID AMERICA APARTMENT COMM,MAA,0.026577
TYLER TECHNOLOGIES INC,TYL,0.026544
INVITATION HOMES INC,INVH,0.026388
INSULET CORP,PODD,0.026217
IDEX CORP,IEX,0.026112
PENTAIR PLC,PNR,0.026109
NORDSON CORP,NDSN,0.025733
COOPER COS INC/THE,COO,0.025716
DECKERS OUTDOOR CORP,DECK,0.025401
ALPHABET INC CL C,GOOG,0.025187360000000002
TKO GROUP HOLDINGS INC,TKO,0.02511
RALPH LAUREN CORP,RL,0.025057
EVEREST GROUP LTD,EG,0.024409
AVERY DENNISON CORP,AVY,0.024263
APTIV PLC,APTV,0.023615
BEST BUY CO INC,BBY,0.022963
META PLATFORMS INC CLASS A,META,0.02295711
MCCORMICK + CO NON VTG SHRS,MKC,0.022643
ALLEGION PLC,ALLE,0.022518
MASCO CORP,MAS,0.022483
HOST HOTELS + RESORTS INC,HST,0.022459
REGENCY CENTERS CORP,REG,0.022454
CLOROX COMPANY,CLX,0.02239
PINNACLE WEST CAPITAL,PNW,0.022292
FOX CORP   CLASS A,FOXA,0.02162
