Name,Investment_Type,Amount
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,80537554
ROUNDTABLE HEALTHCARE PARTNERS CO-INVESTMENT,PRIVATE EQUITY,80369425
KHOSLA VENTURES V,PRIVATE EQUITY,80101121
TSG 9,PRIVATE EQUITY,78086548
APOLLO MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,75000000
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,74751359
H.I.G. MIDDLE MARKET LBO FUND III,PRIVATE EQUITY,72990845
GGV CAPITAL V,PRIVATE EQUITY,72283189
ARSENAL CAPITAL PARTNERS VI,PRIVATE EQUITY,71275984
BOW VENTURES FUND I,PRIVATE EQUITY,70660342
EQT PARTNERS CO-INVESTMENT,PRIVATE EQUITY,70230353
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,66734535
SEQUOIA CAPITAL GGF III CHINA ANNEX,PRIVATE EQUITY,65175215
EQT PARTNERS CO-INVESTMENT,PRIVATE EQUITY,63292407
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,62146326
TPG CAPITAL CO-INVESTMENT,PRIVATE EQUITY,60172004
THE RISE FUND LP,PRIVATE EQUITY,59584557
SEQUOIA CAPITAL GGF III US INDIA ANNEX,PRIVATE EQUITY,58800343
TPG GROWTH IV,PRIVATE EQUITY,58702423
CLEARLAKE CO-INVESTMENT,PRIVATE EQUITY,58677893
EQT X,PRIVATE EQUITY,58414775
THOMA BRAVO CO-INVESTMENT,PRIVATE EQUITY,56258293
APOLLO FUND X,PRIVATE EQUITY,53797145
KHOSLA VENTURES IV,PRIVATE EQUITY,52776288
TPG CAPITAL VIII (HEALTHCARE I),PRIVATE EQUITY,52608315
GGV CAPITAL VIII,PRIVATE EQUITY,52004601
ARSENAL CAPITAL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,51880261
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,47688270
RNT CAPITAL CO-INVESTMENT,PRIVATE EQUITY,45872921
TSG8 L.P.,PRIVATE EQUITY,44765782
GGV VII,PRIVATE EQUITY,44761117
ARSENAL CAPITAL PARTNERS IV,PRIVATE EQUITY,40451579
BREGAL SAGEMOUNT IV,PRIVATE EQUITY,40066421
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,34652189
THOMA BRAVO CO-INVESTMENT,PRIVATE EQUITY,33296452
LONETREE CAPITAL CO-INVESTMENT,PRIVATE EQUITY,32250000
CLEARLAKE CO-INVESTMENT,PRIVATE EQUITY,31697688
EQT PARTNERS CO-INVESTMENT,PRIVATE EQUITY,31428861
WARBURG PINCUS PRIVATE EQUITY XII,PRIVATE EQUITY,31028034
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,30603983
BOW VENTURES FUND II,PRIVATE EQUITY,30561656
MSA ACCELERATION FUND,PRIVATE EQUITY,30495898
ICONIQ STRATEGIC PARTNERS VII,PRIVATE EQUITY,30293806
ARSENAL CAPITAL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,30207667
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,29899531
THOMA BRAVO FUND XIII,PRIVATE EQUITY,29752195
CLEARLAKE CO-INVESTMENT,PRIVATE EQUITY,29104604
"ICON PARTNERS IV, L.P.",PRIVATE EQUITY,28185034
K1 INVESTMENT MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,25171861
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,23008329
SEQUOIA CAPITAL CHINA GROWTH VII,PRIVATE EQUITY,22696890
GGV DISCOVERY II,PRIVATE EQUITY,21947357
DCP I,PRIVATE EQUITY,21026063
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,20593669
GGV DISCOVERY III,PRIVATE EQUITY,19587348
HONGSHAN CHINA EXPANSION I,PRIVATE EQUITY,17845635
"KHOSLA VENTURES SEED, LP",PRIVATE EQUITY,16622475
JLL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,15497393
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,15282770
COLUMN GROUP CO-INVESTMENT,PRIVATE EQUITY,14999997
ROUNDTABLE HEALTHCARE CAPITAL PARTNERSHIP III,PRIVATE EQUITY,14974541
ICONIQ CAPITAL CO-INVESTMENT,PRIVATE EQUITY,14763871
MSA ENTERPRISES,PRIVATE EQUITY,13892094
WARBURG PINCUS PRIVATE EQUITY XI,PRIVATE EQUITY,13206922
GGV VII PLUS,PRIVATE EQUITY,12016607
GGV VIII PLUS,PRIVATE EQUITY,11942373
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,11428890
THE ENGINE FUND II,PRIVATE EQUITY,11047299
SEQUOIA CAPITAL INDIA GROWTH IV,PRIVATE EQUITY,10659238
THE HOUSE FUND III,PRIVATE EQUITY,10009785
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,9999957
APOLLO INVESTMENT FUND VIII,PRIVATE EQUITY,9794153
ARSENAL CAPITAL PARTNERS GROWTH,PRIVATE EQUITY,9681840
DCP CAPITAL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,8680000
SEQUOIA CAPITAL CHINA VENTURE IX,PRIVATE EQUITY,7518224
HIG MIDDLE MARKET LBO FD II,PRIVATE EQUITY,7112985
ENGINE ACCELERATOR CO-INVESTMENT,PRIVATE EQUITY,6998720
COLUMN GROUP CO-INVESTMENT,PRIVATE EQUITY,6991946
ICONIQ STRATEGIC PARTNERS IV L.P.,PRIVATE EQUITY,6987438
SEQUOIA CAPITAL INDIA VENTURE VIII,PRIVATE EQUITY,6894363
KHOSLA VENTURES SEED B L.P.,PRIVATE EQUITY,6769579
BLACKSTONE CAPITAL PARTNERS IX,PRIVATE EQUITY,6746592
BOW VENTURES CO-INVESTMENT,PRIVATE EQUITY,6658445
H.I.G. EUROPE CAPITAL PARTNERS II,PRIVATE EQUITY,6141619
SEQUOIA CAPITALCHINA SEED III,PRIVATE EQUITY,5297291
THE HOUSE FUND OPPORTUNITY III,PRIVATE EQUITY,5258399
VIDA VENTURES II,PRIVATE EQUITY,5125900
BREGAL SAGEMOUNT CO-INVESTMENT,PRIVATE EQUITY,4405122
SEQUOIA SEA I,PRIVATE EQUITY,3616713
UC VENTURES CO-INVESTMENT,PRIVATE EQUITY,3500000
H.I.G. CAPITAL PARTNERS V,PRIVATE EQUITY,3448926
CLEARLAKE CO-INVESTMENT,PRIVATE EQUITY,3123090
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,2683161
GGV IV,PRIVATE EQUITY,1626799
H.I.G. BAYSIDE II,PRIVATE EQUITY,1523930
ENGINE FUND III,PRIVATE EQUITY,1257231
APOLLO INVESTMENT FUND VI,PRIVATE EQUITY,852435
"CONGRUENT VENTURES III, LP",PRIVATE EQUITY,625547
H.I.G. CAPITAL PARTNERS IV,PRIVATE EQUITY,385691
APOLLO MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,363235
LIME ROCK PARTNERS VI,PRIVATE EQUITY,156644
"BLACKSTONE CAPITAL PARTNERS V, L.P.",PRIVATE EQUITY,143674
BLACKSTONE GROUP CO-INVESTMENT,PRIVATE EQUITY,81053
FOUNTAINVEST CHINA GROWTH CAPITAL FUND,PRIVATE EQUITY,40610
BLACKSTONE CAPITAL PARTNERS IV,PRIVATE EQUITY,36002
GOLDMAN SACHS RENEWABLE ENERGY,REAL ASSETS,429989987
APOLLO MANAGEMENT CO-INVESTMENT,REAL ASSETS,229279225
EQT INFRASTRUCTURE V (NO.2) USD SCSP,REAL ASSETS,223777224
JOHN HANCOCK-MANULIFE CO-INVESTMENT,REAL ASSETS,196505102
MANULIFE INFRASTRUCTURE FUND II,REAL ASSETS,191439785
BLACKSTONE ISG INVESTMENT PARTNERS,REAL ASSETS,133538545
STONEPEAK INFRA FD III LP,REAL ASSETS,113684181
APOLLO DEDICATED INVEST POOL,REAL ASSETS,112489989
EQT INFRA IV NO.2 USD SCSP,REAL ASSETS,109646741
ORION MINE FINANCE FUND II,REAL ASSETS,109542210
CIM INFRASTRUCTURE II,REAL ASSETS,107972840
APOLLO FINANCIAL CREDIT INVESTMENT III,REAL ASSETS,102290747
DIGITAL COLONY CO-INVESTMENT,REAL ASSETS,98430471
STONEPEAK INFRASTRUCTURE PARTNERS,REAL ASSETS,93105894
STONEPEAK INFRASTRUCTURE PARTNERS,REAL ASSETS,87507407
MOLPUS - SEVEN STATES TIMBERLAND,REAL ASSETS,71277229
ORION RESOURCE PARTNERS CO-INVESTMENT,REAL ASSETS,56982632
ORION RESOURCES FUND III,REAL ASSETS,56389074
PINE BROOK CAPITAL PARTNERS II,REAL ASSETS,46660926
PARTNERS GROUP CO-INVESTMENT,REAL ASSETS,45277441
EMG II,REAL ASSETS,39727376
"ENCAP FLATROCK MIDSTREAM FUND IV, L.P.",REAL ASSETS,39346223
RENEWABLE RESOURCES GROUP CO-INVESTMENT,REAL ASSETS,38002506
CONGRUENT VENTURES,REAL ASSETS,37917872
ORION MINERAL ROYALTIES FUND,REAL ASSETS,26369031
PONTIFAX AGTECH II,REAL ASSETS,19834448
ENCAP FLATROCK MIDSTREAM FUND III,REAL ASSETS,16369697
"CONGRUENT VENTURES II, LP",REAL ASSETS,13867650
