Name,Type,Sources,Categories,Country_HQ,Industry,Stock_Symbol,Prisons,Occupations,Borders,Divestment_Shortlist,Involvement_Types
Skims,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Skittles,brand,boycott.thewitness,consumer_boycott,,,,,,,,
SMA Solar Technology AG,company,investigate_afsc,occupations,Germany,Solar,S92,,Yes,,,
Smarties,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Smartwater,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Smiths Group PLC,company,investigate_afsc,borders,UK,Diversified Industrials,SMIN,,,Yes,,
Snickers,brand,boycott.thewitness,consumer_boycott,,,,,,,,
SodaStream,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Sodexo,company,investigate_afsc,prisons|divestment_shortlist,France,Business Services,SW,Yes,,,Yes,
SolarEdge Technologies Inc,company,investigate_afsc,occupations,Israel,Solar,SEDG,,Yes,,,
Solvay SA,company,investigate_afsc,occupations,Belgium,Chemicals,SOLB,,Yes,,,
Sony Group Corp,company,investigate_afsc,occupations,Japan,Consumer Electronics,6758,,Yes,,,
Sour Patch Kids,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Sprite,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Spyglass Media Group,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Standard Life,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Starbucks,brand,boycott.thewitness,consumer_boycott,,,,,,,,
STELLA by Stella McCartney,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Sturm Ruger & Co Inc,company,investigate_afsc,prisons|occupations|divestment_shortlist,USA,Aerospace & Defense,RGR,Yes,Yes,,Yes,
Sudocrem,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Sun Corp,company,investigate_afsc,prisons|borders|divestment_shortlist,Japan,Consumer Electronics,6736,Yes,,Yes,Yes,
SuperCom Ltd,company,investigate_afsc,prisons|divestment_shortlist,Israel,Security & Protection Services,SPCB,Yes,,,Yes,
Surf,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Synovus Financial Corp,company,investigate_afsc,prisons|borders,USA,Banks-Regional,SNV,Yes,,Yes,,
