Name,Amount
MORAINE FUND,345011045
BIWA FUND LIMITED,289973704
KEPOS ALPHA FUND,110149519
WANAKA FUND,67197130
BFAM ASIA OPPORTUNITY FUND,65229547
EXUMA CAPITAL,38286181
FALCON CI II,29407622
PEYTO,16735950
ZEI ES CO INVEST,4319903
BLACKSTONE STRAT ALLIANCE II,3308067
