iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"000660","SK HYNIX INC","Information Technology","Equity","92,737,851.17","0.33","92,737,851.17","169,822.00","546.09","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"GE","GE AEROSPACE","Industrials","Equity","92,068,934.76","0.32","92,068,934.76","327,461.00","281.16","United States","NYSE","USD","1.00","USD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","91,085,150.73","0.32","91,085,150.73","5,403,210.00","16.86","United Kingdom","London Stock Exchange","USD","0.76","GBP","Jan 01, 1998"
"NOVN","NOVARTIS AG","Health Care","Equity","90,911,869.83","0.32","90,911,869.83","589,562.00","154.20","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"ROP","ROCHE PS PAR AG","Health Care","Equity","86,784,407.03","0.31","86,784,407.03","218,039.00","398.02","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","85,949,428.56","0.30","85,949,428.56","246,648.00","348.47","United States","NASDAQ","USD","1.00","USD","-"
"SHEL","SHELL PLC","Energy","Equity","85,842,783.70","0.30","85,842,783.70","1,829,093.00","46.93","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","85,529,745.12","0.30","85,529,745.12","391,548.00","218.44","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","81,623,556.21","0.29","81,623,556.21","416,001.00","196.21","United States","NYSE","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","80,730,866.43","0.28","80,730,866.43","5,339,376.00","15.12","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","80,571,688.32","0.28","80,571,688.32","93,358.00","863.04","United States","NYSE","USD","1.00","USD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","78,675,750.41","0.28","78,675,750.41","802,067.00","98.09","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"WFC","WELLS FARGO","Financials","Equity","78,260,423.80","0.28","78,260,423.80","970,973.00","80.60","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","78,052,294.38","0.27","78,052,294.38","281,513.00","277.26","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","78,000,046.80","0.27","78,000,046.80","532,860.00","146.38","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","76,506,329.10","0.27","76,506,329.10","483,911.00","158.10","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","75,786,292.37","0.27","75,786,292.37","84,341.00","898.57","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","72,776,480.00","0.26","72,776,480.00","144,800.00","502.60","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","71,853,735.36","0.25","71,853,735.36","289,546.00","248.16","United States","NYSE","USD","1.00","USD","-"
