iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","9,828,404.51","0.03","9,828,404.51","388,321.00","25.31","United States","NASDAQ","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","9,812,260.40","0.03","9,812,260.40","94,988.00","103.30","United States","NYSE","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","9,795,468.48","0.03","9,795,468.48","125,728.00","77.91","United States","NYSE","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","9,740,334.60","0.03","9,740,334.60","143,790.00","67.74","United States","NASDAQ","USD","1.00","USD","-"
"CPRT","COPART INC","Industrials","Equity","9,735,098.00","0.03","9,735,098.00","291,470.00","33.40","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","9,670,487.06","0.03","9,670,487.06","23,426.00","412.81","United States","NASDAQ","USD","1.00","USD","-"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","9,662,445.29","0.03","9,662,445.29","193,876.00","49.84","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"9888","BAIDU CLASS A INC","Communication","Equity","9,658,709.64","0.03","9,658,709.64","695,760.00","13.88","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"LUMI","BANK LEUMI LE ISRAEL","Financials","Equity","9,643,075.74","0.03","9,643,075.74","431,852.00","22.33","Israel","Tel Aviv Stock Exchange","USD","3.13","ILS","-"
"DTE","DTE ENERGY","Utilities","Equity","9,640,660.88","0.03","9,640,660.88","65,122.00","148.04","United States","NYSE","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","9,626,543.05","0.03","9,626,543.05","80,335.00","119.83","United States","NASDAQ","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","9,616,874.27","0.03","9,616,874.27","62,983.00","152.69","United States","NYSE","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","9,556,287.93","0.03","9,556,287.93","46,347.00","206.19","United States","NYSE","USD","1.00","USD","-"
"FISV","FISERV INC","Financials","Equity","9,545,459.04","0.03","9,545,459.04","169,969.00","56.16","United States","NASDAQ","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","9,546,317.55","0.03","9,546,317.55","70,385.00","135.63","United States","NYSE","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","9,522,730.24","0.03","9,522,730.24","85,268.00","111.68","United States","NYSE","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","9,487,238.85","0.03","9,487,238.85","50,205.00","188.97","United States","NYSE","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","9,478,755.45","0.03","9,478,755.45","32,691.00","289.95","United States","Cboe BZX","USD","1.00","USD","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","9,469,863.43","0.03","9,469,863.43","370,160.00","25.58","Australia","Asx - All Markets","USD","1.45","AUD","-"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","9,470,284.89","0.03","9,470,284.89","10,158.00","932.30","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","9,444,229.34","0.03","9,444,229.34","54,509.00","173.26","United States","NYSE","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","9,424,812.24","0.03","9,424,812.24","77,724.00","121.26","United States","NYSE","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","9,420,553.44","0.03","9,420,553.44","340,584.00","27.66","United States","NYSE","USD","1.00","USD","-"
"9432","NTT INC","Communication","Equity","9,408,079.57","0.03","9,408,079.57","9,549,800.00","0.99","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"Z74","SINGAPORE TELECOMMUNICATIONS LTD","Communication","Equity","9,396,185.73","0.03","9,396,185.73","2,419,000.00","3.88","Singapore","Singapore Exchange","USD","1.28","SGD","-"
"402340","SK SQUARE LTD","Industrials","Equity","9,385,984.28","0.03","9,385,984.28","30,385.00","308.90","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","9,327,531.77","0.03","9,327,531.77","1,167,700.00","7.99","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","9,324,875.95","0.03","9,324,875.95","288,281.00","32.35","India","National Stock Exchange Of India","USD","93.11","INR","-"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","9,313,448.45","0.03","9,313,448.45","824,200.00","11.30","Mexico","Bolsa Mexicana De Valores","USD","17.84","MXN","-"
"WAT","WATERS CORP","Health Care","Equity","9,308,831.28","0.03","9,308,831.28","30,597.00","304.24","United States","NYSE","USD","1.00","USD","-"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","9,302,472.00","0.03","9,302,472.00","970,957.00","9.58","Australia","Asx - All Markets","USD","1.45","AUD","-"
"7182","JAPAN POST BANK LTD","Financials","Equity","9,300,200.17","0.03","9,300,200.17","568,300.00","16.36","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"4578","OTSUKA HOLDINGS LTD","Health Care","Equity","9,248,354.41","0.03","9,248,354.41","130,200.00","71.03","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"HO","THALES SA","Industrials","Equity","9,228,581.93","0.03","9,228,581.93","29,867.00","308.99","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","9,219,571.12","0.03","9,219,571.12","5,412,142.00","1.70","Taiwan","Taiwan Stock Exchange","USD","31.99","TWD","-"
"GIVN","GIVAUDAN SA","Materials","Equity","9,212,551.47","0.03","9,212,551.47","2,712.00","3,396.96","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"EQNR","EQUINOR","Energy","Equity","9,209,270.43","0.03","9,209,270.43","224,298.00","41.06","Norway","Oslo Bors Asa","USD","9.72","NOK","-"
"DOW","DOW INC","Materials","Equity","9,189,806.40","0.03","9,189,806.40","221,976.00","41.40","United States","NYSE","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","9,161,479.60","0.03","9,161,479.60","64,883.00","141.20","United States","NYSE","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","9,139,693.08","0.03","9,139,693.08","68,278.00","133.86","United States","NYSE","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","9,123,058.56","0.03","9,123,058.56","236,104.00","38.64","United States","NYSE","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","9,104,801.30","0.03","9,104,801.30","99,289.00","91.70","United States","NASDAQ","USD","1.00","USD","-"
"4503","ASTELLAS PHARMA INC","Health Care","Equity","9,105,380.73","0.03","9,105,380.73","558,000.00","16.32","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","9,035,738.68","0.03","9,035,738.68","68,318.00","132.26","United States","NASDAQ","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","9,008,241.20","0.03","9,008,241.20","33,544.00","268.55","United States","NYSE","USD","1.00","USD","-"
"KBC","KBC GROEP","Financials","Equity","9,008,884.80","0.03","9,008,884.80","71,750.00","125.56","Belgium","Nyse Euronext - Euronext Brussels","USD","0.87","EUR","-"
"POLI","BANK HAPOALIM BM","Financials","Equity","9,003,361.47","0.03","9,003,361.47","383,791.00","23.46","Israel","Tel Aviv Stock Exchange","USD","3.13","ILS","-"
"LDO","LEONARDO FINMECCANICA SPA","Industrials","Equity","8,997,332.73","0.03","8,997,332.73","125,108.00","71.92","Italy","Borsa Italiana","USD","0.87","EUR","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","8,987,192.11","0.03","8,987,192.11","7,180,317.00","125.16","Switzerland","-","USD","0.80","CHF","-"
"FE","FIRSTENERGY CORP","Utilities","Equity","8,977,300.22","0.03","8,977,300.22","174,962.00","51.31","United States","NYSE","USD","1.00","USD","-"
"DNB","DNB BANK","Financials","Equity","8,965,288.11","0.03","8,965,288.11","286,381.00","31.31","Norway","Oslo Bors Asa","USD","9.72","NOK","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","8,958,792.46","0.03","8,958,792.46","143,249.00","62.54","United States","NASDAQ","USD","1.00","USD","-"
"3382","SEVEN & I HOLDINGS LTD","Consumer Staples","Equity","8,961,302.67","0.03","8,961,302.67","655,100.00","13.68","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"SWED A","SWEDBANK","Financials","Equity","8,941,039.66","0.03","8,941,039.66","262,803.00","34.02","Sweden","Nasdaq Omx Nordic","USD","9.43","SEK","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","8,934,980.02","0.03","8,934,980.02","114,757.00","77.86","United States","NYSE","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","8,911,946.82","0.03","8,911,946.82","121,317.00","73.46","United States","NYSE","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","8,898,831.48","0.03","8,898,831.48","203,588.00","43.71","United States","NYSE","USD","1.00","USD","-"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","8,883,998.37","0.03","8,883,998.37","318,300.00","27.91","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","8,871,997.33","0.03","8,871,997.33","3,371,141.00","2.63","Kuwait","Kuwait Stock Exchange","USD","0.31","KWD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","8,863,401.12","0.03","8,863,401.12","14,224.00","623.13","United States","NYSE","USD","1.00","USD","-"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","8,861,298.28","0.03","8,861,298.28","836,600.00","10.59","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Equity","8,831,955.86","0.03","8,831,955.86","473,430.00","18.66","Sweden","Nasdaq Omx Nordic","USD","9.43","SEK","-"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","8,769,460.48","0.03","8,769,460.48","30,382.00","288.64","United States","NASDAQ","USD","1.00","USD","-"
"DOV","DOVER CORP","Industrials","Equity","8,748,982.62","0.03","8,748,982.62","42,599.00","205.38","United States","NYSE","USD","1.00","USD","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","8,740,031.98","0.03","8,740,031.98","303,262.00","28.82","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.47","DKK","-"
"857","PETROCHINA LTD H","Energy","Equity","8,734,345.15","0.03","8,734,345.15","6,356,000.00","1.37","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"NTRA","NATERA INC","Health Care","Equity","8,720,601.40","0.03","8,720,601.40","41,930.00","207.98","United States","NASDAQ","USD","1.00","USD","-"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","8,711,469.44","0.03","8,711,469.44","141,459.00","61.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","8,691,829.72","0.03","8,691,829.72","175,628.00","49.49","United States","NYSE","USD","1.00","USD","-"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","8,687,293.52","0.03","8,687,293.52","338,818.00","25.64","United States","NYSE","USD","1.00","USD","-"
"FTS","FORTIS INC","Utilities","Equity","8,677,018.58","0.03","8,677,018.58","152,891.00","56.75","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"OTP","OTP BANK","Financials","Equity","8,673,347.17","0.03","8,673,347.17","78,290.00","110.78","Hungary","Budapest Stock Exchange","USD","332.27","HUF","-"
"SUNB","SUNBELT RENTALS HOLDINGS INC","Industrials","Equity","8,656,052.77","0.03","8,656,052.77","138,173.00","62.65","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","8,628,538.10","0.03","8,628,538.10","49,595.00","173.98","United States","NYSE","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","8,582,638.20","0.03","8,582,638.20","62,130.00","138.14","United States","NYSE","USD","1.00","USD","-"
"L","LOBLAW COMPANIES LTD","Consumer Staples","Equity","8,564,605.70","0.03","8,564,605.70","184,625.00","46.39","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"HUBB","HUBBELL INC","Industrials","Equity","8,533,226.25","0.03","8,533,226.25","17,265.00","494.25","United States","NYSE","USD","1.00","USD","-"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","8,522,010.70","0.03","8,522,010.70","173,474.00","49.13","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"HEI","HEIDELBERG MATERIALS AG","Materials","Equity","8,519,150.64","0.03","8,519,150.64","41,539.00","205.09","Germany","Xetra","USD","0.87","EUR","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","8,472,242.88","0.03","8,472,242.88","138,912.00","60.99","United States","NYSE","USD","1.00","USD","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","8,452,618.09","0.03","8,452,618.09","54,245.00","155.82","Germany","Xetra","USD","0.87","EUR","-"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","8,438,197.54","0.03","8,438,197.54","70,471.00","119.74","United States","NYSE","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","8,428,247.70","0.03","8,428,247.70","37,409.00","225.30","United States","NASDAQ","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","8,372,626.08","0.03","8,372,626.08","7,683.00","1,089.76","United States","NYSE","USD","1.00","USD","-"
"8267","AEON LTD","Consumer Staples","Equity","8,366,026.10","0.03","8,366,026.10","691,700.00","12.09","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"MTD","METTLER TOLEDO INC","Health Care","Equity","8,358,441.96","0.03","8,358,441.96","6,634.00","1,259.94","United States","NYSE","USD","1.00","USD","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","8,328,349.65","0.03","8,328,349.65","647,326.00","12.87","India","National Stock Exchange Of India","USD","93.11","INR","-"
"CBK","COMMERZBANK AG","Financials","Equity","8,322,732.71","0.03","8,322,732.71","228,882.00","36.36","Germany","Xetra","USD","0.87","EUR","-"
"ES","EVERSOURCE ENERGY","Utilities","Equity","8,318,059.92","0.03","8,318,059.92","119,736.00","69.47","United States","NYSE","USD","1.00","USD","-"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","8,247,759.84","0.03","8,247,759.84","18,566.00","444.24","United States","NYSE","USD","1.00","USD","-"
"SAMPO","SAMPO CLASS A","Financials","Equity","8,239,597.51","0.03","8,239,597.51","770,827.00","10.69","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.87","EUR","-"
"VIE","VEOLIA ENVIRON. SA","Utilities","Equity","8,143,789.61","0.03","8,143,789.61","210,708.00","38.65","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"CTRA","COTERRA ENERGY INC","Energy","Equity","8,135,700.48","0.03","8,135,700.48","235,408.00","34.56","United States","NYSE","USD","1.00","USD","-"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","8,120,280.81","0.03","8,120,280.81","981,700.00","8.27","Thailand","Stock Exchange Of Thailand","USD","32.76","THB","-"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","8,082,023.25","0.03","8,082,023.25","51,891.00","155.75","United States","NYSE","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","8,069,856.70","0.03","8,069,856.70","45,505.00","177.34","United States","NASDAQ","USD","1.00","USD","-"
"1211","SAUDI ARABIAN MINING","Materials","Equity","8,045,624.30","0.03","8,045,624.30","461,793.00","17.42","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","8,009,151.92","0.03","8,009,151.92","43,274.00","185.08","United States","NASDAQ","USD","1.00","USD","-"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","7,981,641.30","0.03","7,981,641.30","91,690.00","87.05","Taiwan","Taiwan Stock Exchange","USD","31.99","TWD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","7,972,588.60","0.03","7,972,588.60","44,243.00","180.20","United States","NASDAQ","USD","1.00","USD","-"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","7,949,687.08","0.03","7,949,687.08","1,764,000.00","4.51","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","7,944,239.99","0.03","7,944,239.99","61,904.00","128.33","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"2802","AJINOMOTO INC","Consumer Staples","Equity","7,940,165.03","0.03","7,940,165.03","271,600.00","29.23","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","7,932,782.42","0.03","7,932,782.42","80,060.00","99.09","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","7,899,809.13","0.03","7,899,809.13","127,027.00","62.19","United States","NASDAQ","USD","1.00","USD","-"
"SIKA","SIKA AG","Materials","Equity","7,896,006.01","0.03","7,896,006.01","48,010.00","164.47","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"AMRZ","AMRIZE AG","Materials","Equity","7,874,521.38","0.03","7,874,521.38","145,206.00","54.23","United States","NYSE","USD","1.00","USD","-"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Equity","7,853,809.39","0.03","7,853,809.39","49,579.00","158.41","United States","NASDAQ","USD","1.00","USD","-"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","7,854,383.76","0.03","7,854,383.76","176,189.00","44.58","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"FLEX","FLEX LTD","Information Technology","Equity","7,845,392.79","0.03","7,845,392.79","114,381.00","68.59","United States","NASDAQ","USD","1.00","USD","-"
"1605","INPEX CORP","Energy","Equity","7,837,821.98","0.03","7,837,821.98","273,500.00","28.66","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"FSR","FIRSTRAND LTD","Financials","Equity","7,822,597.69","0.03","7,822,597.69","1,524,296.00","5.13","South Africa","Johannesburg Stock Exchange","USD","16.88","ZAR","-"
"Q","QNITY ELECTRONICS INC","Information Technology","Equity","7,817,648.11","0.03","7,817,648.11","67,087.00","116.53","United States","NYSE","USD","1.00","USD","-"
"8015","TOYOTA TSUSHO CORP","Industrials","Equity","7,815,615.10","0.03","7,815,615.10","205,500.00","38.03","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","7,806,395.50","0.03","7,806,395.50","54,878.00","142.25","United States","NASDAQ","USD","1.00","USD","-"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","7,802,644.33","0.03","7,802,644.33","157,000.00","49.70","Taiwan","Taiwan Stock Exchange","USD","31.99","TWD","-"
"ADYEN","ADYEN NV","Financials","Equity","7,795,679.80","0.03","7,795,679.80","7,985.00","976.29","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","7,793,722.20","0.03","7,793,722.20","113,910.00","68.42","United States","NYSE","USD","1.00","USD","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","7,785,666.00","0.03","7,785,666.00","6,740,253.00","115.51","European Union","-","USD","0.87","EUR","-"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","7,776,381.26","0.03","7,776,381.26","542,000.00","14.35","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"AV.","AVIVA PLC","Financials","Equity","7,768,611.17","0.03","7,768,611.17","943,923.00","8.23","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"RJF","RAYMOND JAMES INC","Financials","Equity","7,763,977.80","0.03","7,763,977.80","54,599.00","142.20","United States","NYSE","USD","1.00","USD","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","7,758,342.31","0.03","7,758,342.31","199,928.00","38.81","India","National Stock Exchange Of India","USD","93.11","INR","-"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","7,720,727.82","0.03","7,720,727.82","146,238.00","52.80","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","7,722,819.84","0.03","7,722,819.84","55,488.00","139.18","Netherlands","NYSE","USD","1.00","USD","-"
"BMW","BMW AG","Consumer Discretionary","Equity","7,716,080.98","0.03","7,716,080.98","84,301.00","91.53","Germany","Xetra","USD","0.87","EUR","-"
"EXE","EXPAND ENERGY CORP","Energy","Equity","7,690,976.70","0.03","7,690,976.70","74,030.00","103.89","United States","NASDAQ","USD","1.00","USD","-"
"CMS","CMS ENERGY CORP","Utilities","Equity","7,679,701.98","0.03","7,679,701.98","97,731.00","78.58","United States","NYSE","USD","1.00","USD","-"
"AMS","AMADEUS IT GROUP SA","Consumer Discretionary","Equity","7,668,885.21","0.03","7,668,885.21","134,016.00","57.22","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","7,663,181.40","0.03","7,663,181.40","14,260.00","537.39","United States","NASDAQ","USD","1.00","USD","-"
"ML","MICHELIN","Consumer Discretionary","Equity","7,647,458.28","0.03","7,647,458.28","222,991.00","34.29","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","7,643,822.52","0.03","7,643,822.52","7,052.00","1,083.92","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"OMC","OMNICOM GROUP INC","Communication","Equity","7,622,839.76","0.03","7,622,839.76","101,896.00","74.81","United States","NYSE","USD","1.00","USD","-"
"16","SUN HUNG KAI PROPERTIES LTD","Real Estate","Equity","7,605,249.22","0.03","7,605,249.22","455,000.00","16.71","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","7,588,837.21","0.03","7,588,837.21","99,019.00","76.64","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","7,589,329.85","0.03","7,589,329.85","854,597.00","8.88","India","National Stock Exchange Of India","USD","93.11","INR","-"
"5020","ENEOS HOLDINGS INC","Energy","Equity","7,559,388.95","0.03","7,559,388.95","837,180.00","9.03","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","7,552,815.27","0.03","7,552,815.27","163,163.00","46.29","United States","NYSE","USD","1.00","USD","-"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","7,551,388.51","0.03","7,551,388.51","125,162.00","60.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,519.90","KRW","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","7,538,614.91","0.03","7,538,614.91","1,188,788.00","6.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"DXCM","DEXCOM INC","Health Care","Equity","7,479,715.08","0.03","7,479,715.08","120,214.00","62.22","United States","NASDAQ","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","7,478,292.64","0.03","7,478,292.64","72,436.00","103.24","United States","NYSE","USD","1.00","USD","-"
"FMG","FORTESCUE LTD","Materials","Equity","7,466,923.11","0.03","7,466,923.11","533,435.00","14.00","Australia","Asx - All Markets","USD","1.45","AUD","-"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","7,467,447.54","0.03","7,467,447.54","2,341,000.00","3.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"RYA","RYANAIR HOLDINGS PLC","Industrials","Equity","7,440,383.84","0.03","7,440,383.84","263,557.00","28.23","Ireland","Irish Stock Exchange - All Market","USD","0.87","EUR","-"
"MKL","MARKEL GROUP INC","Financials","Equity","7,425,011.80","0.03","7,425,011.80","3,910.00","1,898.98","United States","NYSE","USD","1.00","USD","-"
"GEBN","GEBERIT AG","Industrials","Equity","7,415,964.70","0.03","7,415,964.70","11,175.00","663.62","Switzerland","SIX Swiss Exchange","USD","0.80","CHF","-"
"285A","KIOXIA HOLDINGS CORP","Information Technology","Equity","7,386,195.21","0.03","7,386,195.21","55,800.00","132.37","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"8308","RESONA HOLDINGS INC","Financials","Equity","7,381,721.83","0.03","7,381,721.83","649,400.00","11.37","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"6762","TDK CORP","Information Technology","Equity","7,364,980.70","0.03","7,364,980.70","603,300.00","12.21","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","7,361,121.71","0.03","7,361,121.71","278,093.00","26.47","United States","NYSE","USD","1.00","USD","-"
"LH","LABCORP HOLDINGS INC","Health Care","Equity","7,301,207.28","0.03","7,301,207.28","26,674.00","273.72","United States","NYSE","USD","1.00","USD","-"
"FTAI","FTAI AVIATION LTD","Industrials","Equity","7,302,542.10","0.03","7,302,542.10","30,090.00","242.69","United States","NASDAQ","USD","1.00","USD","-"
"SBK","STANDARD BANK GROUP","Financials","Equity","7,293,517.18","0.03","7,293,517.18","396,793.00","18.38","South Africa","Johannesburg Stock Exchange","USD","16.88","ZAR","-"
"CW","CURTISS WRIGHT CORP","Industrials","Equity","7,289,291.20","0.03","7,289,291.20","10,490.00","694.88","United States","NYSE","USD","1.00","USD","-"
"STZ","CONSTELLATION BRANDS INC CLASS A","Consumer Staples","Equity","7,291,015.20","0.03","7,291,015.20","48,221.00","151.20","United States","NYSE","USD","1.00","USD","-"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","7,283,015.03","0.03","7,283,015.03","819,000.00","8.89","Taiwan","Taiwan Stock Exchange","USD","31.99","TWD","-"
"7751","CANON INC","Information Technology","Equity","7,284,038.53","0.03","7,284,038.53","260,800.00","27.93","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","7,249,537.62","0.03","7,249,537.62","24,686.00","293.67","United States","NASDAQ","USD","1.00","USD","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","7,245,538.67","0.03","7,245,538.67","275,274.00","26.32","India","National Stock Exchange Of India","USD","93.11","INR","-"
"AMXB","AMERICA MOVIL B","Communication","Equity","7,242,726.52","0.03","7,242,726.52","5,667,910.00","1.28","Mexico","Bolsa Mexicana De Valores","USD","17.84","MXN","-"
