"Name","Description","Sources / Links","Parent Company","Country"
"Off the Eaten Path (Rice Crisps)","Healthy Food. PepsiCo owns SodaStream and 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.","https://bdscoalition.ca/","PepsiCo",""
"Off White Men","Men’s Clothing and Accessories-High End.  Women’s Clothing and Accessories-High End. This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.","https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/","LVMH",""
"Officine Universelle Buly","Perfume. This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.","https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/","LVMH",""
"OGX Beauty","Shampoo-Affordable. Johnson & Johnson owns companies in Israel, engaging in various sectors including healthcare, pharmaceuticals, and medical devices, furthering its global presence in these critical industries.","https://www.jnjcareers.co.il/en","J&J (Kenvue)",""
"OIF Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"OIKOS","Yogurt. Danone is a French multinational food-products corporation that holds 20% shares of Israel’s Strauss Group food company.","https://www.strauss-group.com/partner/partnership_danone/","Danone S.A.",""
"Ojon","Hair Care. Ojon is owned by Estee Lauder, whose ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.","https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d","Estee Lauder",""
"Okie Dokie","Baby and Kids Clothes. Uses Delta Galil fabric, an Israeli textile company with manufacturing and operations in illegal West Bank settlements.","http://www.inminds.com/boycott-delta-galil.html","JCPenney",""
"Olaplex","Hair Care.  Shampoo. Olaplex is owned by Advent International, which has large investments in the weapons industry.","https://www.ft.com/content/d70982dc-ffec-4055-847b-49ab0b2dd843","Advent International",""
"Olay","Procter & Gamble (P&G) has significant involvement in Israel since 2001, with its brands present in 98% of Israeli households, and providing work for countless Israelis. P&G operates a research and development centre in Tel Aviv, where it invests approximately $2 billion annually. In 2007 P&G established the Israel House of Innovation, an open innovation centre Through which it collaborates with Israeli companies, including Teva Pharmaceutical Industries Ltd.","https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=6684002211f5 , http://www.tevapharm.com/ , https://localhost/javascript/viewInstrument('TEVA' , 11 , 'EN') , https://localhost/javascript/viewInstrument('629014' , 45 , 'EN') , https://us.pg.com/brands/","Procter and Gamble",""
