Fund Name (AS CITED),SSGA S&P 500 EX‐TOB UCRP
Internal Name,S&P 500® ex-Tobacco Index Strategy
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,https://www.ssga.com/us/en/institutional/ic/strategies/sp-500-ex-tobacco-index-strategy-smp00869
Note:,"The holdings for this security are fully private, but using SSGA's normal S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
Unrestricted Data Divider,
Fund Name:,State Street S&P 500 Index Fund
Ammount of companies in fund (restricted),500
Filing Date (restricted),"Feb 29, 2024"
Source,https://www.ssga.com/us/en/institutional/ic/funds/state-street-sp-500-index-fund-class-n-svspx
Company,Index Weight
Hilton Worldwide Holdings Inc,0.00122773
Travelers Companies Inc.,0.00122499
Ross Stores Inc.,0.00120846
Edwards Lifesciences Corporation,0.00120631
3M Company,0.00119669
Capital One Financial Corp,0.00118791
Welltower Inc.,0.00117854
Ford Motor Company,0.00115701
Nucor Corporation,0.00112927
Crown Castle Inc.,0.00112273
Truist Financial Corporation,0.00112036
Simon Property Group Inc.,0.00111918
Copart Inc.,0.00110746
United Rentals Inc.,0.00110544
Valero Energy Corporation,0.00110195
IDEXX Laboratories Inc.,0.00108877
Microchip Technology Incorporated,0.00108373
Carrier Global Corp.,0.00108171
IQVIA Holdings Inc,0.00107314
Public Storage,0.00106741
TE Connectivity Ltd.,0.0010657
ONEOK Inc.,0.00106551
MSCI Inc. Class A,0.0010606
Sempra,0.00105036
DexCom Inc.,0.00103761
W.W. Grainger Inc.,0.00103527
American Electric Power Company Inc.,0.0010329
Digital Realty Trust Inc.,0.00102869
D.R. Horton Inc.,0.00102788
Williams Companies Inc.,0.00101804
Fastenal Company,0.00101776
Allstate Corporation,0.00101733
Monster Beverage Corporation,0.0010147
Realty Income Corporation,0.00101161
AMETEK Inc.,0.00101082
Fortinet Inc.,0.00100491
Bank of New York Mellon Corp,0.00099703
Kimberly-Clark Corporation,0.00099264
MetLife Inc.,0.00099023
Sysco Corporation,0.0009876
Occidental Petroleum Corporation,0.00097881
Humana Inc.,0.00097699
Aflac Incorporated,0.00097298
Lennar Corporation Class A,0.00096774
Ameriprise Financial Inc.,0.00096731
Agilent Technologies Inc.,0.00095735
Johnson Controls International plc,0.00095179
Yum! Brands Inc.,0.00094917
Centene Corporation,0.00094862
