Fund Name (AS CITED),SPDR MSCI
Internal Name,SPDR® MSCI USA StrategicFactors℠ ETF
Restricted y/n,n
Ammount of companies in fund (restricted),610
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-msci-usa-strategicfactors-etf-qus
Note:,
Restricted Data:,
Company,Index Weight
DELL TECHNOLOGIES C,0.00149995
AMERIPRISE FINANCIAL INC,0.00149371
THERMO FISHER SCIENTIFIC INC,0.0014879
MICROCHIP TECHNOLOGY INC,0.00148695
AMERICAN INTERNATIONAL GROUP,0.00147995
NETAPP INC,0.00146265
ABBOTT LABORATORIES,0.00145978
CUMMINS INC,0.00145543
US BANCORP,0.00142055
PNC FINANCIAL SERVICES GROUP,0.00141486
PAYCHEX INC,0.00140422
COPART INC,0.0014023
NEUROCRINE BIOSCIENCES INC,0.0013992
CAMPBELL SOUP CO,0.00139677
DOMINION ENERGY INC,0.00139375
ANALOG DEVICES INC,0.00138487
LULULEMON ATHLETICA INC,0.00137146
WILLIS TOWERS WATSON PLC,0.00135974
IDEXX LABORATORIES INC,0.0013536
TARGET CORP,0.00135307
MICRON TECHNOLOGY INC,0.00134954
SUPER MICRO COMPUTER INC,0.00134539
INTERCONTINENTAL EXCHANGE IN,0.00131209
MARKEL GROUP INC,0.00131059
CHENIERE ENERGY INC,0.00130955
AMCOR PLC,0.00129163
C.H. ROBINSON WORLDWIDE INC,0.0012877
PUBLIC STORAGE,0.00128268
FASTENAL CO,0.00126174
AUTODESK INC,0.00123736
AMERICAN EXPRESS CO,0.00122579
CATERPILLAR INC,0.00122463
AGILENT TECHNOLOGIES INC,0.00122363
KIMBERLY CLARK CORP,0.00122246
LOEWS CORP,0.00121939
NETFLIX INC,0.00121832
MONSTER BEVERAGE CORP,0.00120441
GARTNER INC,0.00117285
OLD DOMINION FREIGHT LINE,0.00116929
GENERAL ELECTRIC CO,0.00116364
QUEST DIAGNOSTICS INC,0.00116193
DANAHER CORP,0.001156
FEDEX CORP,0.00113374
AIR PRODUCTS + CHEMICALS INC,0.00112775
BIOMARIN PHARMACEUTICAL INC,0.00112446
CENTENE CORP,0.00111234
WR BERKLEY CORP,0.00110964
CORNING INC,0.00109675
FAIR ISAAC CORP,0.00109635
ARCH CAPITAL GROUP LTD,0.00109598
PACKAGING CORP OF AMERICA,0.00106283
WILLIAMS COS INC,0.00105798
PULTEGROUP INC,0.00105497
METLIFE INC,0.00101987
TRACTOR SUPPLY COMPANY,0.00100533
CARDINAL HEALTH INC,0.00099319
ADVANCED MICRO DEVICES,0.0009906
NEXTERA ENERGY INC,0.00098006
DTE ENERGY COMPANY,0.00097381
T ROWE PRICE GROUP INC,0.0009643
SALESFORCE INC,0.00095636
BUILDERS FIRSTSOURCE INC,0.00095416
PHILIP MORRIS INTERNATIONAL,0.00094811
NVR INC,0.00094147
ROCKWELL AUTOMATION INC,0.00094075
TESLA INC,0.00093709
AMEREN CORPORATION,0.00093622
PRUDENTIAL FINANCIAL INC,0.00093078
RESMED INC,0.00092395
DEERE + CO,0.00092126
HARTFORD FINANCIAL SVCS GRP,0.00091668
HOLOGIC INC,0.00091057
DOW INC,0.0009077
MONOLITHIC POWER SYSTEMS INC,0.00089356
WALGREENS BOOTS ALLIANCE INC,0.00088508
JM SMUCKER CO/THE,0.00088456
MODERNA INC,0.00087707
ULTA BEAUTY INC,0.00086223
SCHWAB (CHARLES) CORP,0.00086119
UNION PACIFIC CORP,0.00085735
NUCOR CORP,0.00085322
ALLSTATE CORP,0.00084468
EVERSOURCE ENERGY,0.00084008
BEST BUY CO INC,0.00083328
WARNER BROS DISCOVERY INC,0.00083181
BANK OF NEW YORK MELLON CORP,0.00082855
