Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
AIR PRODUCTS + CHEMICALS INC,0.127869
GENERAL MOTORS CO,0.127509
AMERICAN INTERNATIONAL GROUP,0.127508
EDWARDS LIFESCIENCES CORP,0.12505
CARRIER GLOBAL CORP,0.124916
AUTOZONE INC,0.124742
HILTON WORLDWIDE HOLDINGS IN,0.122312
3M CO,0.122078
ARTHUR J GALLAGHER + CO,0.121653
TRUIST FINANCIAL CORP,0.121458
MICROCHIP TECHNOLOGY INC,0.120801
FORD MOTOR CO,0.120156
COPART INC,0.117629
NEWMONT CORP,0.117439
TRAVELERS COS INC/THE,0.116801
DEXCOM INC,0.115914
UNITED RENTALS INC,0.115725
WILLIAMS COS INC,0.113819
SIMON PROPERTY GROUP INC,0.113126
ONEOK INC,0.112852
AUTODESK INC,0.111715
KIMBERLY CLARK CORP,0.110072
AMERICAN ELECTRIC POWER,0.108705
SEMPRA,0.108223
REALTY INCOME CORP,0.107838
ALLSTATE CORP,0.107163
JOHNSON CONTROLS INTERNATION,0.106862
AFLAC INC,0.106767
ROSS STORES INC,0.106329
TE CONNECTIVITY LTD,0.106204
METLIFE INC,0.105578
DR HORTON INC,0.105481
BANK OF NEW YORK MELLON CORP,0.104437
GE VERNOVA INC,0.103767
DIGITAL REALTY TRUST INC,0.103412
IQVIA HOLDINGS INC,0.103067
NUCOR CORP,0.102964
DOMINION ENERGY INC,0.101833
CONSTELLATION BRANDS INC A,0.10119
IDEXX LABORATORIES INC,0.100662
AMERIPRISE FINANCIAL INC,0.100083
CUMMINS INC,0.099922
PUBLIC STORAGE,0.099832
LULULEMON ATHLETICA INC,0.099623
WW GRAINGER INC,0.098919
L3HARRIS TECHNOLOGIES INC,0.098629
FORTINET INC,0.098252
FIDELITY NATIONAL INFO SERV,0.098198
CROWN CASTLE INC,0.098171
AGILENT TECHNOLOGIES INC,0.098128
AMETEK INC,0.097337
PRUDENTIAL FINANCIAL INC,0.097017
DOW INC,0.096887
YUM BRANDS INC,0.096831
MONSTER BEVERAGE CORP,0.096672
GENERAL MILLS INC,0.095677
REPUBLIC SERVICES INC,0.095381
CENCORA INC,0.095303
CENTENE CORP,0.094587
CORTEVA INC,0.094259
SYSCO CORP,0.092962
FASTENAL CO,0.092913
PAYCHEX INC,0.092496
QUANTA SERVICES INC,0.092286
LENNAR CORP A,0.092164
OTIS WORLDWIDE CORP,0.091507
GE HEALTHCARE TECHNOLOGY,0.090367
MARTIN MARIETTA MATERIALS,0.090353
INGERSOLL RAND INC,0.090111
EXELON CORP,0.090075
COSTAR GROUP INC,0.089569
MSCI INC,0.089497
HUMANA INC,0.088916
P G + E CORP,0.088338
KROGER CO,0.088234
MODERNA INC,0.087884
KINDER MORGAN INC,0.086286
KEURIG DR PEPPER INC,0.084429
GARTNER INC,0.083043
HALLIBURTON CO,0.083025
