Company,Index Weight
parker-hannifin corp,0.0010041868735862663
colgate-palmolive,0.0010028012127217543
crowdstrike holdings inc class a,0.0009983999940905727
canadian national railway,0.0009979175578645608
zurich insurance group ag,0.0009963812270561538
equinix reit inc,0.0009901192616589352
trane technologies plc,0.0009846076659927887
national australia bank ltd,0.0009776892453376366
phillips,0.0009776916258108228
csx corp,0.0009774867634950058
paypal holdings inc,0.0009713836674834091
shin etsu chemical ltd,0.0009637718726603409
becton dickinson,0.0009558464375087173
axa sa,0.0009513216771251041
bank of montreal,0.0009482303152962487
general dynamics corp,0.0009362750850677386
cintas corp,0.0009290496671175802
mercadolibre inc,0.0009205549275901429
us bancorp,0.0009195113835669317
mercedes-benz group n ag,0.0009192620801276667
fedex corp,0.0009148099470811326
oreilly automotive inc,0.0009083571250988673
mitsui ltd,0.0009067752577198795
pioneer natural resource,0.0009029279251969461
vinci sa,0.0008936564894183555
hca healthcare inc,0.0008933642542269783
pnc financial services group inc,0.000890478727251761
recruit holdings ltd,0.0008864339857072782
moodys corp,0.0008861038158146543
nxp semiconductors nv,0.0008855103440120293
emerson electric,0.0008854090969043468
general motors,0.000879107455931483
marriott international inc class a,0.0008782031626363992
constellation energy corp,0.0008780645162294287
essilorluxottica sa,0.0008779727534872723
british american tobacco,0.0008693733380709289
marvell technology inc,0.0008670981415157864
hon hai precision industry ltd,0.0008656854086995122
muenchener rueckversicherungs-gese,0.000862776551553259
glencore plc,0.0008543455543080855
china construction bank corp h,0.0008524472319568597
daiichi sankyo ltd,0.0008496438969536401
paccar inc,0.0008487964655757304
valero energy corp,0.0008482463143971901
unicredit,0.000844444038669056
intesa sanpaolo,0.0008410596152319724
crh public limited plc,0.0008349027730849224
motorola solutions inc,0.0008334862815137578
westpac banking corporation corp,0.000820764604259562
aon plc class a,0.0008195647180584093
infosys ltd,0.0008140731685737432
ing groep nv,0.0008135867026197332
ecolab inc,0.0008129293492648925
constellation software inc,0.0008067418368477203
bank of nova scotia,0.000804780176424304
brookfield corp class a,0.0008007191116643305
hilton worldwide holdings inc,0.0008000698331035869
roper technologies inc,0.00079787252792159
capital one financial corp,0.0007924210192638675
norfolk southern corp,0.0007876135859719534
kkr and co inc,0.0007856803195423023
tokio marine holdings inc,0.0007841480821661371
autozone inc,0.0007735442241718717
ferrari nv,0.000771438094385039
arthur j gallagher,0.0007566190023504192
bae systems plc,0.0007558169538553237
edwards lifesciences corp,0.0007536390670152298
anz group holdings ltd,0.0007529762675099436
anheuser-busch inbev sa,0.0007517617746312461
hdfc bank ltd,0.0007491594994242396
workday inc class a,0.0007464179040586379
stellantis nv,0.0007445536472194453
american international group inc,0.0007441700002216496
air products and chemicals inc,0.0007410465169338633
welltower inc,0.0007362765136174381
prosus nv,0.0007357167346110057
suncor energy inc,0.0007355154950522555
honda motor ltd,0.0007336474874339844
industria de diseno textil inditex,0.0007258683226455296
enel,0.000723854777007258
3m,0.0007224879847671298
itochu corp,0.0007205667812421947
truist financial corp,0.0007201778936244991
softbank group corp,0.0007191448628465907
microchip technology inc,0.0007162896995839953
ford motor co,0.0007145860375644686
atlas copco class a,0.0007145188057621037
dbs group holdings ltd,0.0007074722821102149
carrier global corp,0.0007064731797217217
fast retailing ltd,0.00070387825248736
nintendo ltd,0.0007018724134265211
mediatek inc,0.0007011847221270673
newmont,0.0006968776473247524
dexcom inc,0.0006884677676785011
wesfarmers ltd,0.0006884741009846756
basf n,0.0006883688639258018
national grid plc,0.0006835844957625484
copart inc,0.0006811812207516298
united rentals inc,0.0006786901084274701
williams inc,0.0006774992485961651
travelers companies inc,0.000676692696937038
aflac inc,0.000674112334353826
london stock exchange group plc,0.0006719381146490363
compass group plc,0.0006699788904272381
oneok inc,0.0006697767096203918
autodesk inc,0.000668695740223122
metlife inc,0.0006585648813306915
alimentation couche tard inc,0.0006573915845446617
iqvia holdings inc,0.0006557964324278777
